"","Overall","[0,5)","[5,10)","[10,14)","[14,18)","[18,22)","p","test","SMD","[0,5):0","[5,10):0","[10,14):0","[14,18):0","[18,22):0","[0,5):1","[5,10):1","[10,14):1","[14,18):1","[18,22):1","p","test","SMD"
"n","   687771","   187638","   179631","   111633","   114694","    94175","","","","   186374","   178746","   111049","   113917","    92986","     1264","      885","      584","      777","     1189","","",""
"EL_SEX_CD = M (%)","   341960 ( 49.7) ","    96750 ( 51.6) ","    93887 ( 52.3) ","    58972 ( 52.8) ","    58069 ( 50.6) ","    34282 ( 36.4) ","<0.001",""," 0.140","    96057 ( 51.5) ","    93471 ( 52.3) ","    58708 ( 52.9) ","    57706 ( 50.7) ","    33914 ( 36.5) ","      693 ( 54.8) ","      416 ( 47.0) ","      264 ( 45.2) ","      363 ( 46.7) ","      368 ( 31.0) ","<0.001",""," 0.174"
"race (%)","   ","   ","   ","   ","   ","    ","<0.001",""," 0.136","   ","   ","   ","   ","    ","     ","      ","      ","      ","     ","<0.001",""," 0.194"
"   White","   400287 ( 58.2) ","   112465 ( 59.9) ","   105931 ( 59.0) ","    65618 ( 58.8) ","    62772 ( 54.7) ","    53501 ( 56.8) ","","","","   111599 ( 59.9) ","   105323 ( 58.9) ","    65246 ( 58.8) ","    62303 ( 54.7) ","    52734 ( 56.7) ","      866 ( 68.5) ","      608 ( 68.7) ","      372 ( 63.7) ","      469 ( 60.4) ","      767 ( 64.5) ","","",""
"   Black","   220341 ( 32.0) ","    54516 ( 29.1) ","    53198 ( 29.6) ","    35427 ( 31.7) ","    43037 ( 37.5) ","    34163 ( 36.3) ","","","","    54280 ( 29.1) ","    53009 ( 29.7) ","    35272 ( 31.8) ","    42794 ( 37.6) ","    33828 ( 36.4) ","      236 ( 18.7) ","      189 ( 21.4) ","      155 ( 26.5) ","      243 ( 31.3) ","      335 ( 28.2) ","","",""
"   Native American","     4663 (  0.7) ","     1054 (  0.6) ","     1317 (  0.7) ","      841 (  0.8) ","      798 (  0.7) ","      653 (  0.7) ","","","","     1047 (  0.6) ","     1314 (  0.7) ","      837 (  0.8) ","      788 (  0.7) ","      647 (  0.7) ","        7 (  0.6) ","        3 (  0.3) ","        4 (  0.7) ","       10 (  1.3) ","        6 (  0.5) ","","",""
"   Asian or PI","     8357 (  1.2) ","     2422 (  1.3) ","     2318 (  1.3) ","     1379 (  1.2) ","     1275 (  1.1) ","      963 (  1.0) ","","","","     2404 (  1.3) ","     2309 (  1.3) ","     1372 (  1.2) ","     1267 (  1.1) ","      946 (  1.0) ","       18 (  1.4) ","        9 (  1.0) ","        7 (  1.2) ","        8 (  1.0) ","       17 (  1.4) ","","",""
"   Hispanic","    46731 (  6.8) ","    14433 (  7.7) ","    15194 (  8.5) ","     7365 (  6.6) ","     5781 (  5.0) ","     3958 (  4.2) ","","","","    14318 (  7.7) ","    15126 (  8.5) ","     7327 (  6.6) ","     5743 (  5.0) ","     3902 (  4.2) ","      115 (  9.1) ","       68 (  7.7) ","       38 (  6.5) ","       38 (  4.9) ","       56 (  4.7) ","","",""
"   NA.","     7392 (  1.1) ","     2748 (  1.5) ","     1673 (  0.9) ","     1003 (  0.9) ","     1031 (  0.9) ","      937 (  1.0) ","","","","     2726 (  1.5) ","     1665 (  0.9) ","      995 (  0.9) ","     1022 (  0.9) ","      929 (  1.0) ","       22 (  1.7) ","        8 (  0.9) ","        8 (  1.4) ","        9 (  1.2) ","        8 (  0.7) ","","",""
"total_elig_months (mean (sd))","    11.12 (1.95)","    10.51 (2.44)","    11.46 (1.54)","    11.50 (1.48)","    11.48 (1.51)","    10.84 (2.13)","<0.001",""," 0.267","    10.51 (2.44)","    11.46 (1.54)","    11.50 (1.49)","    11.48 (1.51)","    10.83 (2.13)","    10.03 (2.66)","    11.62 (1.34)","    11.64 (1.21)","    11.57 (1.34)","    10.88 (2.10)","<0.001",""," 0.315"
"elig_cat (%)","   ","   ","   ","   ","   ","    "," NaN",""," 0.245","   ","   ","   ","   ","    ","     ","      ","      ","      ","     "," NaN",""," 0.301"
"   0 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   1-3 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
