"","Overall","0","1","p","test","SMD","White","Black","Native American","Asian or PI","Hispanic","NA.","p","test","SMD"
"n","  1750991","  1197512","    16253","","","","  1019939","   577645","     9143","    25987","    97636","    20641","","",""
"EL_SEX_CD = M (%)","   748908 ( 42.8) ","   488573 ( 40.8) ","     7014 ( 43.2) ","<0.001",""," 0.048","   432987 ( 42.5) ","   247605 ( 42.9) ","     4079 ( 44.6) ","    11471 ( 44.1) ","    43909 ( 45.0) ","     8857 ( 42.9) ","<0.001",""," 0.026"
"race (%)","  ","  ","    ","<0.001",""," 0.267","  ","   ","     ","    ","    ","    ","<0.001",""," NaN"
"   White","  1019939 ( 58.2) ","   724924 ( 60.5) ","     8081 ( 49.7) ","","","","  1019939 (100.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   Black","   577645 ( 33.0) ","   375188 ( 31.3) ","     7144 ( 44.0) ","","","","        0 (  0.0) ","   577645 (100.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   Native American","     9143 (  0.5) ","     6968 (  0.6) ","       80 (  0.5) ","","","","        0 (  0.0) ","        0 (  0.0) ","     9143 (100.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   Asian or PI","    25987 (  1.5) ","    16305 (  1.4) ","      234 (  1.4) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","    25987 (100.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   Hispanic","    97636 (  5.6) ","    61456 (  5.1) ","      576 (  3.5) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","    97636 (100.0) ","        0 (  0.0) ","","",""
"   NA.","    20641 (  1.2) ","    12671 (  1.1) ","      138 (  0.8) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","    20641 (100.0) ","","",""
"total_elig_months (mean (sd))","    10.68 (2.34)","    11.05 (2.01)","    10.87 (2.19)","<0.001",""," 0.087","    10.59 (2.40)","    10.89 (2.17)","    10.56 (2.38)","    10.67 (2.35)","    10.44 (2.52)","     9.97 (2.75)","<0.001",""," 0.145"
"elig_cat (%)","  ","  ","    "," NaN",""," 0.089","  ","   ","     ","    ","    ","    "," NaN",""," 0.145"
"   0 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   1-3 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   4-6 months","   185459 ( 10.6) ","    83871 (  7.0) ","     1444 (  8.9) ","","","","   115749 ( 11.3) ","    49163 (  8.5) ","     1008 ( 11.0) ","     2794 ( 10.8) ","    12923 ( 13.2) ","     3822 ( 18.5) ","","",""
"   7-9 months","   204201 ( 11.7) ","   106372 (  8.9) ","     1672 ( 10.3) ","","","","   126749 ( 12.4) ","    57563 ( 10.0) ","     1194 ( 13.1) ","     3001 ( 11.5) ","    12493 ( 12.8) ","     3201 ( 15.5) ","","",""
"   9-12 months","  1361331 ( 77.7) ","  1007269 ( 84.1) ","    13137 ( 80.8) ","","","","   777441 ( 76.2) ","   470919 ( 81.5) ","     6941 ( 75.9) ","    20192 ( 77.7) ","    72220 ( 74.0) ","    13618 ( 66.0) ","","",""
"AKI = 1 (%)","     2500 (  0.2) ","        0 (  0.0) ","     2500 ( 15.4) ","<0.001",""," 0.603","     1202 (  0.2) ","     1147 (  0.3) ","       11 (  0.2) ","       32 (  0.2) ","       75 (  0.1) ","       33 (  0.3) ","<0.001",""," 0.018"
"ANEMIA = 1 (%)","    41206 (  3.4) ","    34182 (  2.9) ","     7024 ( 43.2) ","<0.001",""," 1.092","    19526 (  2.7) ","    18802 (  4.9) ","      166 (  2.4) ","      726 (  4.4) ","     1673 (  2.7) ","      313 (  2.4) ","<0.001",""," 0.068"
"ASHD = 1 (%)","    18884 (  1.6) ","    16322 (  1.4) ","     2562 ( 15.8) ","<0.001",""," 0.533","    11985 (  1.6) ","     5824 (  1.5) ","       93 (  1.3) ","      407 (  2.5) ","      403 (  0.6) ","      172 (  1.3) ","<0.001",""," 0.056"
"CABG = 1 (%)","      187 (  0.0) ","      137 (  0.0) ","       50 (  0.3) ","<0.001",""," 0.074","      140 (  0.0) ","       29 (  0.0) ","        2 (  0.0) ","        5 (  0.0) ","       10 (  0.0) ","        1 (  0.0) ","<0.001",""," 0.009"
"CANCER = 1 (%)","    13749 (  1.1) ","    12525 (  1.0) ","     1224 (  7.5) ","<0.001",""," 0.324","     8753 (  1.2) ","     4257 (  1.1) ","       58 (  0.8) ","      212 (  1.3) ","      293 (  0.5) ","      176 (  1.4) ","<0.001",""," 0.041"
"CASCEA = 1 (%)","       79 (  0.0) ","       66 (  0.0) ","       13 (  0.1) ","<0.001",""," 0.036","       64 (  0.0) ","        9 (  0.0) ","        0 (  0.0) ","        2 (  0.0) ","        3 (  0.0) ","        1 (  0.0) "," 0.004",""," 0.008"
"CHF = 1 (%)","    15735 (  1.3) ","    12514 (  1.0) ","     3221 ( 19.8) ","<0.001",""," 0.645","     9116 (  1.2) ","     5905 (  1.5) ","       54 (  0.8) ","      195 (  1.2) ","      255 (  0.4) ","      210 (  1.6) ","<0.001",""," 0.057"
"CKD = 1 (%)","    16253 (  1.3) ","        0 (  0.0) ","    16253 (100.0) ","<0.001",""," NaN","     8081 (  1.1) ","     7144 (  1.9) ","       80 (  1.1) ","      234 (  1.4) ","      576 (  0.9) ","      138 (  1.1) ","<0.001",""," 0.033"
"CKD_STAGE_1 = 1 (%)","      211 (  0.0) ","        0 (  0.0) ","      211 (  1.3) ","<0.001",""," 0.162","      104 (  0.0) ","       99 (  0.0) ","        1 (  0.0) ","        2 (  0.0) ","        5 (  0.0) ","        0 (  0.0) ","<0.001",""," 0.010"
"CKD_STAGE_2 = 1 (%)","      347 (  0.0) ","        0 (  0.0) ","      347 (  2.1) ","<0.001",""," 0.209","      149 (  0.0) ","      184 (  0.0) ","        1 (  0.0) ","        5 (  0.0) ","        7 (  0.0) ","        1 (  0.0) ","<0.001",""," 0.011"
"CKD_STAGE_3 = 1 (%)","     1332 (  0.1) ","        0 (  0.0) ","     1332 (  8.2) ","<0.001",""," 0.423","      613 (  0.1) ","      644 (  0.2) ","        7 (  0.1) ","       28 (  0.2) ","       30 (  0.0) ","       10 (  0.1) ","<0.001",""," 0.018"
"CKD_STAGE_4 = 1 (%)","      772 (  0.1) ","        0 (  0.0) ","      772 (  4.7) ","<0.001",""," 0.316","      362 (  0.0) ","      357 (  0.1) ","        3 (  0.0) ","       18 (  0.1) ","       22 (  0.0) ","       10 (  0.1) ","<0.001",""," 0.014"
"CKD_STAGE_5 = 1 (%)","     5089 (  0.4) ","        0 (  0.0) ","     5089 ( 31.3) ","<0.001",""," 0.955","     1690 (  0.2) ","     3110 (  0.8) ","       16 (  0.2) ","       82 (  0.5) ","      159 (  0.3) ","       32 (  0.2) ","<0.001",""," 0.036"
"CLINIC = 1 (%)","   250739 ( 20.7) ","   247664 ( 20.7) ","     3075 ( 18.9) ","<0.001",""," 0.044","   155770 ( 21.3) ","    69958 ( 18.3) ","     2623 ( 37.2) ","     1917 ( 11.6) ","    17358 ( 28.0) ","     3113 ( 24.3) ","<0.001",""," 0.258"
"COPD = 1 (%)","    84645 (  7.0) ","    81731 (  6.8) ","     2914 ( 17.9) ","<0.001",""," 0.342","    49815 (  6.8) ","    29837 (  7.8) ","      466 (  6.6) ","      843 (  5.1) ","     3029 (  4.9) ","      655 (  5.1) ","<0.001",""," 0.059"
"CVA = 1 (%)","    12259 (  1.0) ","    10922 (  0.9) ","     1337 (  8.2) ","<0.001",""," 0.356","     6939 (  0.9) ","     4672 (  1.2) ","       45 (  0.6) ","      187 (  1.1) ","      251 (  0.4) ","      165 (  1.3) ","<0.001",""," 0.046"
"CVD_HOSP = 1 (%)","     9302 (  0.8) ","     8745 (  0.7) ","      557 (  3.4) ","<0.001",""," 0.190","     5564 (  0.8) ","     2947 (  0.8) ","       70 (  1.0) ","      129 (  0.8) ","      466 (  0.8) ","      126 (  1.0) "," 0.019",""," 0.014"
"DIALYSIS = 1 (%)","     4981 (  0.4) ","       12 (  0.0) ","     4969 ( 30.6) ","<0.001",""," 0.938","     1646 (  0.2) ","     3055 (  0.8) ","       15 (  0.2) ","       79 (  0.5) ","      155 (  0.2) ","       31 (  0.2) ","<0.001",""," 0.037"
"DM = 1 (%)","    54975 (  4.5) ","    49828 (  4.2) ","     5147 ( 31.7) ","<0.001",""," 0.768","    31995 (  4.4) ","    19214 (  5.0) ","      292 (  4.1) ","     1109 (  6.7) ","     1980 (  3.2) ","      385 (  3.0) ","<0.001",""," 0.077"
"DYSRHYTH = 1 (%)","    13819 (  1.1) ","    11836 (  1.0) ","     1983 ( 12.2) ","<0.001",""," 0.464","     8558 (  1.2) ","     4447 (  1.2) ","       88 (  1.2) ","      226 (  1.4) ","      362 (  0.6) ","      138 (  1.1) ","<0.001",""," 0.030"
"ED = 1 (%)","   400402 ( 33.0) ","   392046 ( 32.7) ","     8356 ( 51.4) ","<0.001",""," 0.385","   222239 ( 30.3) ","   149040 ( 39.0) ","     2499 ( 35.5) ","     3038 ( 18.4) ","    21180 ( 34.1) ","     2406 ( 18.8) ","<0.001",""," 0.237"
"GI = 1 (%)","     6295 (  0.5) ","     5408 (  0.5) ","      887 (  5.5) ","<0.001",""," 0.299","     3795 (  0.5) ","     2086 (  0.5) ","       49 (  0.7) ","       85 (  0.5) ","      226 (  0.4) ","       54 (  0.4) ","<0.001",""," 0.019"
"HOMEHEALTH = 1 (%)","     9840 (  0.8) ","     8303 (  0.7) ","     1537 (  9.5) ","<0.001",""," 0.407","     5400 (  0.7) ","     3524 (  0.9) ","       48 (  0.7) ","      124 (  0.7) ","      538 (  0.9) ","      206 (  1.6) ","<0.001",""," 0.034"
"HTN = 1 (%)","    60067 (  4.9) ","    53392 (  4.5) ","     6675 ( 41.1) ","<0.001",""," 0.970","    29319 (  4.0) ","    27658 (  7.2) ","      276 (  3.9) ","     1001 (  6.1) ","     1363 (  2.2) ","      450 (  3.5) ","<0.001",""," 0.105"
"ICDCRTD = 1 (%)","      103 (  0.0) ","       72 (  0.0) ","       31 (  0.2) ","<0.001",""," 0.059","       55 (  0.0) ","       44 (  0.0) ","        0 (  0.0) ","        1 (  0.0) ","        3 (  0.0) ","        0 (  0.0) "," 0.172",""," 0.008"
"INF_HOSP = 1 (%)","   322213 ( 26.5) ","   314436 ( 26.3) ","     7777 ( 47.8) ","<0.001",""," 0.459","   200545 ( 27.4) ","    96814 ( 25.3) ","     2418 ( 34.3) ","     3586 ( 21.7) ","    16380 ( 26.4) ","     2470 ( 19.3) ","<0.001",""," 0.142"
"LABXRAY = 1 (%)","   639962 ( 52.7) ","   627556 ( 52.4) ","    12406 ( 76.3) ","<0.001",""," 0.516","   382597 ( 52.2) ","   207352 ( 54.2) ","     3968 ( 56.3) ","     7520 ( 45.5) ","    33387 ( 53.8) ","     5138 ( 40.1) ","<0.001",""," 0.146"
"LIVERDIS = 1 (%)","     4917 (  0.4) ","     4227 (  0.4) ","      690 (  4.2) ","<0.001",""," 0.262","     2910 (  0.4) ","     1643 (  0.4) ","       38 (  0.5) ","      102 (  0.6) ","      192 (  0.3) ","       32 (  0.2) ","<0.001",""," 0.026"
"NONKIDNEYTX = 1 (%)","      458 (  0.0) ","      351 (  0.0) ","      107 (  0.7) ","<0.001",""," 0.108","      292 (  0.0) ","      125 (  0.0) ","        2 (  0.0) ","       10 (  0.1) ","       21 (  0.0) ","        8 (  0.1) "," 0.146",""," 0.008"
"NONPEDCONG = 1 (%)","    33465 (  2.8) ","    29065 (  2.4) ","     4400 ( 27.1) ","<0.001",""," 0.741","    20069 (  2.7) ","    11624 (  3.0) ","      147 (  2.1) ","      604 (  3.7) ","      685 (  1.1) ","      336 (  2.6) ","<0.001",""," 0.069"
"OPHOSPITAL = 1 (%)","   498265 ( 41.1) ","   485709 ( 40.6) ","    12556 ( 77.3) ","<0.001",""," 0.804","   289768 ( 39.5) ","   171616 ( 44.9) ","     3575 ( 50.7) ","     5034 ( 30.4) ","    24507 ( 39.5) ","     3765 ( 29.4) ","<0.001",""," 0.208"
"OTHCARDIAC = 1 (%)","    20002 (  1.6) ","    18032 (  1.5) ","     1970 ( 12.1) ","<0.001",""," 0.431","    11918 (  1.6) ","     6728 (  1.8) ","      121 (  1.7) ","      311 (  1.9) ","      741 (  1.2) ","      183 (  1.4) ","<0.001",""," 0.024"
"PAD = 1 (%)","      318 (  0.0) ","      193 (  0.0) ","      125 (  0.8) ","<0.001",""," 0.121","      191 (  0.0) ","      108 (  0.0) ","        4 (  0.1) ","        2 (  0.0) ","       11 (  0.0) ","        2 (  0.0) "," 0.249",""," 0.010"
"PCI = 1 (%)","      541 (  0.0) ","      440 (  0.0) ","      101 (  0.6) ","<0.001",""," 0.102","      387 (  0.1) ","      107 (  0.0) ","        6 (  0.1) ","       16 (  0.1) ","       18 (  0.0) ","        7 (  0.1) ","<0.001",""," 0.014"
"PEDCKD = 1 (%)","    25573 (  2.1) ","    12209 (  1.0) ","    13364 ( 82.2) ","<0.001",""," 2.905","    14788 (  2.0) ","     9197 (  2.4) ","      138 (  2.0) ","      340 (  2.1) ","      892 (  1.4) ","      218 (  1.7) ","<0.001",""," 0.029"
"PEDCONG = 1 (%)","     4621 (  0.4) ","     4389 (  0.4) ","      232 (  1.4) ","<0.001",""," 0.113","     2911 (  0.4) ","     1284 (  0.3) ","       34 (  0.5) ","       66 (  0.4) ","      243 (  0.4) ","       83 (  0.6) ","<0.001",""," 0.018"
"PHYSICIANF = 1 (%)","   964602 ( 79.5) ","   949673 ( 79.3) ","    14929 ( 91.9) ","<0.001",""," 0.363","   576974 ( 78.7) ","   310042 ( 81.1) ","     5401 ( 76.6) ","    13930 ( 84.2) ","    49253 ( 79.4) ","     9002 ( 70.3) ","<0.001",""," 0.135"
