"","Overall","[0,5)","[5,11)","[11,14)","[14,19)","[19,22)","p","test","SMD","[0,5):0","[5,11):0","[11,14):0","[14,19):0","[19,22):0","[0,5):1","[5,11):1","[11,14):1","[14,19):1","[19,22):1","p","test","SMD"
"n","   845788","   216602","   259080","   106081","   175857","    88168","","","","   215478","   258448","   105841","   175309","    87492","     1124","      632","      240","      548","      676","","",""
"EL_SEX_CD (%)","   ","   ","   ","   ","   ","    ","<0.001",""," 0.135","   ","   ","   ","   ","    ","     ","      ","      ","      ","      ","<0.001",""," 0.184"
"   F","   426804 ( 50.5) ","   105228 ( 48.6) ","   125446 ( 48.4) ","    51333 ( 48.4) ","    88357 ( 50.2) ","    56440 ( 64.0) ","","","","   104759 ( 48.6) ","   125159 ( 48.4) ","    51218 ( 48.4) ","    88062 ( 50.2) ","    55978 ( 64.0) ","      469 ( 41.7) ","      287 ( 45.4) ","      115 ( 47.9) ","      295 ( 53.8) ","      462 ( 68.3) ","","",""
"   M","   418983 ( 49.5) ","   111373 ( 51.4) ","   133634 ( 51.6) ","    54748 ( 51.6) ","    87500 ( 49.8) ","    31728 ( 36.0) ","","","","   110718 ( 51.4) ","   133289 ( 51.6) ","    54623 ( 51.6) ","    87247 ( 49.8) ","    31514 ( 36.0) ","      655 ( 58.3) ","      345 ( 54.6) ","      125 ( 52.1) ","      253 ( 46.2) ","      214 ( 31.7) ","","",""
"   U","        1 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"race (%)","   ","   ","   ","   ","   ","    ","<0.001",""," 0.131","   ","   ","   ","   ","    ","     ","      ","      ","      ","      ","<0.001",""," 0.208"
"   White","   483381 ( 57.2) ","   129056 ( 59.6) ","   148956 ( 57.5) ","    60774 ( 57.3) ","    95292 ( 54.2) ","    49303 ( 55.9) ","","","","   128305 ( 59.5) ","   148569 ( 57.5) ","    60626 ( 57.3) ","    94990 ( 54.2) ","    48862 ( 55.8) ","      751 ( 66.8) ","      387 ( 61.2) ","      148 ( 61.7) ","      302 ( 55.1) ","      441 ( 65.2) ","","",""
"   Black","   278174 ( 32.9) ","    64334 ( 29.7) ","    80362 ( 31.0) ","    34846 ( 32.8) ","    66152 ( 37.6) ","    32480 ( 36.8) ","","","","    64108 ( 29.8) ","    80214 ( 31.0) ","    34778 ( 32.9) ","    65967 ( 37.6) ","    32284 ( 36.9) ","      226 ( 20.1) ","      148 ( 23.4) ","       68 ( 28.3) ","      185 ( 33.8) ","      196 ( 29.0) ","","",""
"   Native American","     5124 (  0.6) ","     1103 (  0.5) ","     1714 (  0.7) ","      745 (  0.7) ","     1051 (  0.6) ","      511 (  0.6) ","","","","     1098 (  0.5) ","     1711 (  0.7) ","      744 (  0.7) ","     1048 (  0.6) ","      509 (  0.6) ","        5 (  0.4) ","        3 (  0.5) ","        1 (  0.4) ","        3 (  0.5) ","        2 (  0.3) ","","",""
"   Asian or PI","    10943 (  1.3) ","     2794 (  1.3) ","     3530 (  1.4) ","     1403 (  1.3) ","     2224 (  1.3) ","      992 (  1.1) ","","","","     2778 (  1.3) ","     3520 (  1.4) ","     1400 (  1.3) ","     2215 (  1.3) ","      984 (  1.1) ","       16 (  1.4) ","       10 (  1.6) ","        3 (  1.2) ","        9 (  1.6) ","        8 (  1.2) ","","",""
"   Hispanic","    56454 (  6.7) ","    15109 (  7.0) ","    21404 (  8.3) ","     7151 (  6.7) ","     9201 (  5.2) ","     3589 (  4.1) ","","","","    15024 (  7.0) ","    21332 (  8.3) ","     7136 (  6.7) ","     9168 (  5.2) ","     3567 (  4.1) ","       85 (  7.6) ","       72 ( 11.4) ","       15 (  6.2) ","       33 (  6.0) ","       22 (  3.3) ","","",""
"   NA.","    11712 (  1.4) ","     4206 (  1.9) ","     3114 (  1.2) ","     1162 (  1.1) ","     1937 (  1.1) ","     1293 (  1.5) ","","","","     4165 (  1.9) ","     3102 (  1.2) ","     1157 (  1.1) ","     1921 (  1.1) ","     1286 (  1.5) ","       41 (  3.6) ","       12 (  1.9) ","        5 (  2.1) ","       16 (  2.9) ","        7 (  1.0) ","","",""
"total_elig_months (mean (sd))","    11.04 (2.02)","    10.49 (2.45)","    11.38 (1.64)","    11.43 (1.58)","    11.36 (1.67)","    10.32 (2.42)","<0.001",""," 0.300","    10.49 (2.45)","    11.38 (1.64)","    11.43 (1.58)","    11.36 (1.67)","    10.32 (2.42)","    10.14 (2.58)","    11.60 (1.33)","    11.61 (1.27)","    11.51 (1.45)","    10.70 (2.13)","<0.001",""," 0.331"
"elig_cat (%)","   ","   ","   ","   ","   ","    "," NaN",""," 0.282","   ","   ","   ","   ","    ","     ","      ","      ","      ","      "," NaN",""," 0.303"
"   0 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   1-3 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   4-6 months","    57388 (  6.8) ","    25787 ( 11.9) ","    10310 (  4.0) ","     3741 (  3.5) ","     7274 (  4.1) ","    10276 ( 11.7) ","","","","    25627 ( 11.9) ","    10295 (  4.0) ","     3736 (  3.5) ","     7257 (  4.1) ","    10224 ( 11.7) ","      160 ( 14.2) ","       15 (  2.4) ","        5 (  2.1) ","       17 (  3.1) ","       52 (  7.7) ","","",""
"   7-9 months","    78487 (  9.3) ","    28763 ( 13.3) ","    16471 (  6.4) ","     6546 (  6.2) ","    11782 (  6.7) ","    14925 ( 16.9) ","","","","    28576 ( 13.3) ","    16442 (  6.4) ","     6535 (  6.2) ","    11752 (  6.7) ","    14827 ( 16.9) ","      187 ( 16.6) ","       29 (  4.6) ","       11 (  4.6) ","       30 (  5.5) ","       98 ( 14.5) ","","",""
"   9-12 months","   709913 ( 83.9) ","   162052 ( 74.8) ","   232299 ( 89.7) ","    95794 ( 90.3) ","   156801 ( 89.2) ","    62967 ( 71.4) ","","","","   161275 ( 74.8) ","   231711 ( 89.7) ","    95570 ( 90.3) ","   156300 ( 89.2) ","    62441 ( 71.4) ","      777 ( 69.1) ","      588 ( 93.0) ","      224 ( 93.3) ","      501 ( 91.4) ","      526 ( 77.8) ","","",""
