"","Overall","0","1","p","test","SMD","[0,5)","[5,10)","[10,14)","[14,18)","[18,22)","p","test","SMD","[0,5):0","[5,10):0","[10,14):0","[14,18):0","[18,22):0","[0,5):1","[5,10):1","[10,14):1","[14,18):1","[18,22):1","p","test","SMD"
"n","   845788","   838017","     7771","","","","   216602","   221676","   143485","   139669","   124356","","","","   214794","   220161","   142388","   138307","   122367","     1808","     1515","     1097","     1362","     1989","","",""
"EL_SEX_CD (%)","   ","   ","     ","<0.001",""," 0.133","   ","   ","   ","   ","   ","<0.001",""," 0.106","   ","   ","   ","   ","   ","     ","     ","     ","     ","     ","<0.001",""," 0.158"
"   F","   426804 ( 50.5) ","   422374 ( 50.4) ","     4430 ( 57.0) ","","","","   105228 ( 48.6) ","   107590 ( 48.5) ","    69189 ( 48.2) ","    69216 ( 49.6) ","    75581 ( 60.8) ","","","","   104367 ( 48.6) ","   106736 ( 48.5) ","    68583 ( 48.2) ","    68488 ( 49.5) ","    74200 ( 60.6) ","      861 ( 47.6) ","      854 ( 56.4) ","      606 ( 55.2) ","      728 ( 53.5) ","     1381 ( 69.4) ","","",""
"   M","   418983 ( 49.5) ","   415642 ( 49.6) ","     3341 ( 43.0) ","","","","   111373 ( 51.4) ","   114086 ( 51.5) ","    74296 ( 51.8) ","    70453 ( 50.4) ","    48775 ( 39.2) ","","","","   110426 ( 51.4) ","   113425 ( 51.5) ","    73805 ( 51.8) ","    69819 ( 50.5) ","    48167 ( 39.4) ","      947 ( 52.4) ","      661 ( 43.6) ","      491 ( 44.8) ","      634 ( 46.5) ","      608 ( 30.6) ","","",""
"   U","        1 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","","","","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"race (%)","   ","   ","     ","<0.001",""," 0.157","   ","   ","   ","   ","   ","<0.001",""," 0.130","   ","   ","   ","   ","   ","     ","     ","     ","     ","     ","<0.001",""," 0.202"
"   White","   483381 ( 57.2) ","   478430 ( 57.1) ","     4951 ( 63.7) ","","","","   129056 ( 59.6) ","   127526 ( 57.5) ","    82204 ( 57.3) ","    76123 ( 54.5) ","    68472 ( 55.1) ","","","","   127829 ( 59.5) ","   126512 ( 57.5) ","    81528 ( 57.3) ","    75316 ( 54.5) ","    67245 ( 55.0) ","     1227 ( 67.9) ","     1014 ( 66.9) ","      676 ( 61.6) ","      807 ( 59.3) ","     1227 ( 61.7) ","","",""
"   Black","   278174 ( 32.9) ","   276109 ( 32.9) ","     2065 ( 26.6) ","","","","    64334 ( 29.7) ","    68490 ( 30.9) ","    46718 ( 32.6) ","    51888 ( 37.2) ","    46744 ( 37.6) ","","","","    63980 ( 29.8) ","    68157 ( 31.0) ","    46415 ( 32.6) ","    51449 ( 37.2) ","    46108 ( 37.7) ","      354 ( 19.6) ","      333 ( 22.0) ","      303 ( 27.6) ","      439 ( 32.2) ","      636 ( 32.0) ","","",""
"   Native American","     5124 (  0.6) ","     5082 (  0.6) ","       42 (  0.5) ","","","","     1103 (  0.5) ","     1446 (  0.7) ","     1013 (  0.7) ","      847 (  0.6) ","      715 (  0.6) ","","","","     1094 (  0.5) ","     1438 (  0.7) ","     1006 (  0.7) ","      843 (  0.6) ","      701 (  0.6) ","        9 (  0.5) ","        8 (  0.5) ","        7 (  0.6) ","        4 (  0.3) ","       14 (  0.7) ","","",""
"   Asian or PI","    10943 (  1.3) ","    10830 (  1.3) ","      113 (  1.5) ","","","","     2794 (  1.3) ","     3043 (  1.4) ","     1890 (  1.3) ","     1785 (  1.3) ","     1431 (  1.2) ","","","","     2766 (  1.3) ","     3023 (  1.4) ","     1869 (  1.3) ","     1771 (  1.3) ","     1401 (  1.1) ","       28 (  1.5) ","       20 (  1.3) ","       21 (  1.9) ","       14 (  1.0) ","       30 (  1.5) ","","",""
"   Hispanic","    56454 (  6.7) ","    56006 (  6.7) ","      448 (  5.8) ","","","","    15109 (  7.0) ","    18533 (  8.4) ","    10022 (  7.0) ","     7540 (  5.4) ","     5250 (  4.2) ","","","","    14977 (  7.0) ","    18412 (  8.4) ","     9951 (  7.0) ","     7475 (  5.4) ","     5191 (  4.2) ","      132 (  7.3) ","      121 (  8.0) ","       71 (  6.5) ","       65 (  4.8) ","       59 (  3.0) ","","",""
"   NA.","    11712 (  1.4) ","    11560 (  1.4) ","      152 (  2.0) ","","","","     4206 (  1.9) ","     2638 (  1.2) ","     1638 (  1.1) ","     1486 (  1.1) ","     1744 (  1.4) ","","","","     4148 (  1.9) ","     2619 (  1.2) ","     1619 (  1.1) ","     1453 (  1.1) ","     1721 (  1.4) ","       58 (  3.2) ","       19 (  1.3) ","       19 (  1.7) ","       33 (  2.4) ","       23 (  1.2) ","","",""
"total_elig_months (mean (sd))","    11.04 (2.02)","    11.04 (2.02)","    11.16 (1.88)","<0.001",""," 0.059","    10.49 (2.45)","    11.37 (1.65)","    11.43 (1.58)","    11.39 (1.63)","    10.59 (2.29)","<0.001",""," 0.264","    10.49 (2.45)","    11.37 (1.66)","    11.43 (1.58)","    11.38 (1.64)","    10.59 (2.30)","    10.41 (2.45)","    11.61 (1.30)","    11.62 (1.25)","    11.64 (1.26)","    10.90 (2.02)","<0.001",""," 0.302"
"elig_cat (%)","   ","   ","     "," NaN",""," 0.059","   ","   ","   ","   ","   "," NaN",""," 0.248","   ","   ","   ","   ","   ","     ","     ","     ","     ","     "," NaN",""," 0.278"
"   0 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   1-3 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","",""
"   4-6 months","    57388 (  6.8) ","    56953 (  6.8) ","      435 (  5.6) ","","","","    25787 ( 11.9) ","     8992 (  4.1) ","     5059 (  3.5) ","     5479 (  3.9) ","    12071 (  9.7) ","","","","    25567 ( 11.9) ","     8959 (  4.1) ","     5036 (  3.5) ","     5447 (  3.9) ","    11944 (  9.8) ","      220 ( 12.2) ","       33 (  2.2) ","       23 (  2.1) ","       32 (  2.3) ","      127 (  6.4) ","","",""
"   7-9 months","    78487 (  9.3) ","    77825 (  9.3) ","      662 (  8.5) ","","","","    28763 ( 13.3) ","    14225 (  6.4) ","     8792 (  6.1) ","     8939 (  6.4) ","    17768 ( 14.3) ","","","","    28507 ( 13.3) ","    14162 (  6.4) ","     8739 (  6.1) ","     8890 (  6.4) ","    17527 ( 14.3) ","      256 ( 14.2) ","       63 (  4.2) ","       53 (  4.8) ","       49 (  3.6) ","      241 ( 12.1) ","","",""
"   9-12 months","   709913 ( 83.9) ","   703239 ( 83.9) ","     6674 ( 85.9) ","","","","   162052 ( 74.8) ","   198459 ( 89.5) ","   129634 ( 90.3) ","   125251 ( 89.7) ","    94517 ( 76.0) ","","","","   160720 ( 74.8) ","   197040 ( 89.5) ","   128613 ( 90.3) ","   123970 ( 89.6) ","    92896 ( 75.9) ","     1332 ( 73.7) ","     1419 ( 93.7) ","     1021 ( 93.1) ","     1281 ( 94.1) ","     1621 ( 81.5) ","","",""
"AKI = 1 (%)","      191 (  0.0) ","       78 (  0.0) ","      113 (  1.5) ","<0.001",""," 0.170","       69 (  0.0) ","       13 (  0.0) ","       10 (  0.0) ","       24 (  0.0) ","       75 (  0.1) ","<0.001",""," 0.016","       36 (  0.0) ","        5 (  0.0) ","        3 (  0.0) ","        6 (  0.0) ","       28 (  0.0) ","       33 (  1.8) ","        8 (  0.5) ","        7 (  0.6) ","       18 (  1.3) ","       47 (  2.4) ","<0.001",""," 0.108"
"ANEMIA = 1 (%)","    32243 (  3.8) ","    31403 (  3.7) ","      840 ( 10.8) ","<0.001",""," 0.274","    10551 (  4.9) ","     7324 (  3.3) ","     3688 (  2.6) ","     4660 (  3.3) ","     6020 (  4.8) ","<0.001",""," 0.064","    10392 (  4.8) ","     7217 (  3.3) ","     3599 (  2.5) ","     4531 (  3.3) ","     5664 (  4.6) ","      159 (  8.8) ","      107 (  7.1) ","       89 (  8.1) ","      129 (  9.5) ","      356 ( 17.9) ","<0.001",""," 0.186"
"ASHD = 1 (%)","      497 (  0.1) ","      468 (  0.1) ","       29 (  0.4) ","<0.001",""," 0.069","       37 (  0.0) ","       32 (  0.0) ","       36 (  0.0) ","      137 (  0.1) ","      255 (  0.2) ","<0.001",""," 0.031","       34 (  0.0) ","       31 (  0.0) ","       34 (  0.0) ","      135 (  0.1) ","      234 (  0.2) ","        3 (  0.2) ","        1 (  0.1) ","        2 (  0.2) ","        2 (  0.1) ","       21 (  1.1) ","<0.001",""," 0.048"
"CABG = 0 (%)","   845788 (100.0) ","   838017 (100.0) ","     7771 (100.0) "," NA","","<0.001","   216602 (100.0) ","   221676 (100.0) ","   143485 (100.0) ","   139669 (100.0) ","   124356 (100.0) "," NA","","<0.001","   214794 (100.0) ","   220161 (100.0) ","   142388 (100.0) ","   138307 (100.0) ","   122367 (100.0) ","     1808 (100.0) ","     1515 (100.0) ","     1097 (100.0) ","     1362 (100.0) ","     1989 (100.0) "," NA","","<0.001"
"CANCER = 1 (%)","     1480 (  0.2) ","     1260 (  0.2) ","      220 (  2.8) ","<0.001",""," 0.223","      208 (  0.1) ","      300 (  0.1) ","      221 (  0.2) ","      281 (  0.2) ","      470 (  0.4) ","<0.001",""," 0.027","      166 (  0.1) ","      240 (  0.1) ","      188 (  0.1) ","      248 (  0.2) ","      418 (  0.3) ","       42 (  2.3) ","       60 (  4.0) ","       33 (  3.0) ","       33 (  2.4) ","       52 (  2.6) ","<0.001",""," 0.139"
"CASCEA = 0 (%)","   845788 (100.0) ","   838017 (100.0) ","     7771 (100.0) "," NA","","<0.001","   216602 (100.0) ","   221676 (100.0) ","   143485 (100.0) ","   139669 (100.0) ","   124356 (100.0) "," NA","","<0.001","   214794 (100.0) ","   220161 (100.0) ","   142388 (100.0) ","   138307 (100.0) ","   122367 (100.0) ","     1808 (100.0) ","     1515 (100.0) ","     1097 (100.0) ","     1362 (100.0) ","     1989 (100.0) "," NA","","<0.001"
"CHF = 1 (%)","      888 (  0.1) ","      778 (  0.1) ","      110 (  1.4) ","<0.001",""," 0.153","      299 (  0.1) ","      120 (  0.1) ","      105 (  0.1) ","      136 (  0.1) ","      228 (  0.2) ","<0.001",""," 0.019","      258 (  0.1) ","      107 (  0.0) ","       98 (  0.1) ","      117 (  0.1) ","      198 (  0.2) ","       41 (  2.3) ","       13 (  0.9) ","        7 (  0.6) ","       19 (  1.4) ","       30 (  1.5) ","<0.001",""," 0.098"
"CKD = 1 (%)","     3220 (  0.4) ","      266 (  0.0) ","     2954 ( 38.0) ","<0.001",""," 1.106","     1124 (  0.5) ","      535 (  0.2) ","      337 (  0.2) ","      396 (  0.3) ","      828 (  0.7) ","<0.001",""," 0.035","       64 (  0.0) ","       27 (  0.0) ","       24 (  0.0) ","       32 (  0.0) ","      119 (  0.1) ","     1060 ( 58.6) ","      508 ( 33.5) ","      313 ( 28.5) ","      364 ( 26.7) ","      709 ( 35.6) ","<0.001",""," 0.679"
"CKD_STAGE_1 = 1 (%)","       49 (  0.0) ","        0 (  0.0) ","       49 (  0.6) ","<0.001",""," 0.113","        4 (  0.0) ","        6 (  0.0) ","        4 (  0.0) ","       10 (  0.0) ","       25 (  0.0) ","<0.001",""," 0.009","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        4 (  0.2) ","        6 (  0.4) ","        4 (  0.4) ","       10 (  0.7) ","       25 (  1.3) ","<0.001",""," 0.071"
"CKD_STAGE_2 = 1 (%)","       52 (  0.0) ","        0 (  0.0) ","       52 (  0.7) ","<0.001",""," 0.116","        4 (  0.0) ","        4 (  0.0) ","       10 (  0.0) ","       10 (  0.0) ","       24 (  0.0) ","<0.001",""," 0.009","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        4 (  0.2) ","        4 (  0.3) ","       10 (  0.9) ","       10 (  0.7) ","       24 (  1.2) ","<0.001",""," 0.076"
"CKD_STAGE_3 = 1 (%)","       73 (  0.0) ","        0 (  0.0) ","       73 (  0.9) ","<0.001",""," 0.138","        4 (  0.0) ","        8 (  0.0) ","        8 (  0.0) ","       20 (  0.0) ","       33 (  0.0) ","<0.001",""," 0.011","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        4 (  0.2) ","        8 (  0.5) ","        8 (  0.7) ","       20 (  1.5) ","       33 (  1.7) ","<0.001",""," 0.090"
