"","Overall","0","1","p","test","0","1","p","test","White","Black","Native American","Asian or PI","Hispanic","NA.","p","test"
"n","  1464860","  1425454","    39406","","","  1442307","    22553","","","   868815","   474365","     7787","    20637","    74720","    18536","",""
"EL_SEX_CD (%)","  ","  ","    ","<0.001","","  ","    ","<0.001","","   ","   ","     ","    ","    ","    ","<0.001",""
"   F","   855847 ( 58.4) ","   831151 ( 58.3) ","    24696 ( 62.7) ","","","   843003 ( 58.4) ","    12844 ( 57.0) ","","","   507560 ( 58.4) ","   280289 ( 59.1) ","     4425 ( 56.8) ","    11629 ( 56.4) ","    41582 ( 55.7) ","    10362 ( 55.9) ","",""
"   M","   609012 ( 41.6) ","   594302 ( 41.7) ","    14710 ( 37.3) ","","","   599303 ( 41.6) ","     9709 ( 43.0) ","","","   361255 ( 41.6) ","   194075 ( 40.9) ","     3362 ( 43.2) ","     9008 ( 43.6) ","    33138 ( 44.3) ","     8174 ( 44.1) ","",""
"   U","        1 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","","","        1 (  0.0) ","        0 (  0.0) ","","","        0 (  0.0) ","        1 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","",""
"race (%)","  ","  ","    ","<0.001","","  ","    ","<0.001","","   ","   ","     ","    ","    ","    ","<0.001",""
"   White","   868815 ( 59.3) ","   845848 ( 59.3) ","    22967 ( 58.3) ","","","   857151 ( 59.4) ","    11664 ( 51.7) ","","","   868815 (100.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","",""
"   Black","   474365 ( 32.4) ","   460320 ( 32.3) ","    14045 ( 35.6) ","","","   464861 ( 32.2) ","     9504 ( 42.1) ","","","        0 (  0.0) ","   474365 (100.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","",""
"   Native American","     7787 (  0.5) ","     7637 (  0.5) ","      150 (  0.4) ","","","     7715 (  0.5) ","       72 (  0.3) ","","","        0 (  0.0) ","        0 (  0.0) ","     7787 (100.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","",""
"   Asian or PI","    20637 (  1.4) ","    20065 (  1.4) ","      572 (  1.5) ","","","    20314 (  1.4) ","      323 (  1.4) ","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","    20637 (100.0) ","        0 (  0.0) ","        0 (  0.0) ","",""
"   Hispanic","    74720 (  5.1) ","    73477 (  5.2) ","     1243 (  3.2) ","","","    74003 (  5.1) ","      717 (  3.2) ","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","    74720 (100.0) ","        0 (  0.0) ","",""
"   NA.","    18536 (  1.3) ","    18107 (  1.3) ","      429 (  1.1) ","","","    18263 (  1.3) ","      273 (  1.2) ","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","    18536 (100.0) ","",""
"total_elig_months (mean (sd))","    10.92 (2.13)","    10.91 (2.14)","    11.04 (2.01)","<0.001","","    10.92 (2.13)","    10.86 (2.19)","<0.001","","    10.82 (2.21)","    11.11 (1.94)","    10.80 (2.21)","    10.96 (2.09)","    10.82 (2.22)","    10.49 (2.45)","<0.001",""
"elig_cat (%)","  ","  ","    "," NaN","","  ","    "," NaN","","   ","   ","     ","    ","    ","    "," NaN",""
"   0 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","        0 (  0.0) ","        0 (  0.0) ","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","",""
"   1-3 months","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","","","        0 (  0.0) ","        0 (  0.0) ","","","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","        0 (  0.0) ","",""
"   4-6 months","   116384 (  7.9) ","   113713 (  8.0) ","     2671 (  6.8) ","","","   114446 (  7.9) ","     1938 (  8.6) ","","","    76306 (  8.8) ","    29074 (  6.1) ","      672 (  8.6) ","     1510 (  7.3) ","     6655 (  8.9) ","     2167 ( 11.7) ","",""
"   7-9 months","   149117 ( 10.2) ","   145407 ( 10.2) ","     3710 (  9.4) ","","","   146728 ( 10.2) ","     2389 ( 10.6) ","","","    94884 ( 10.9) ","    40637 (  8.6) ","      898 ( 11.5) ","     2142 ( 10.4) ","     8021 ( 10.7) ","     2535 ( 13.7) ","",""
"   9-12 months","  1199359 ( 81.9) ","  1166334 ( 81.8) ","    33025 ( 83.8) ","","","  1181133 ( 81.9) ","    18226 ( 80.8) ","","","   697625 ( 80.3) ","   404654 ( 85.3) ","     6217 ( 79.8) ","    16985 ( 82.3) ","    60044 ( 80.4) ","    13834 ( 74.6) ","",""
"AKI = 1 (%)","     3407 (  0.2) ","     1351 (  0.1) ","     2056 (  5.2) ","<0.001","","        0 (  0.0) ","     3407 ( 15.1) ","<0.001","","     1774 (  0.2) ","     1410 (  0.3) ","       13 (  0.2) ","       59 (  0.3) ","       93 (  0.1) ","       58 (  0.3) ","<0.001",""
"ANEMIA = 1 (%)","    81661 (  5.6) ","    69814 (  4.9) ","    11847 ( 30.1) ","<0.001","","    71913 (  5.0) ","     9748 ( 43.2) ","<0.001","","    38499 (  4.4) ","    36577 (  7.7) ","      217 (  2.8) ","     1643 (  8.0) ","     3918 (  5.2) ","      807 (  4.4) ","<0.001",""
