"","Overall","(0,21]","(21,120]","p","test","SMD","(0,21]:0","(21,120]:0","(0,21]:1","(21,120]:1","p","test","SMD"
"n","1681448","864827","816618","","","","861598","791273"," 3229","25345","","",""
"EL_SEX_CD = M (%)"," 700087 ( 41.6) ","441909 ( 51.1) ","258175 ( 31.6) ","<0.001",""," 0.404","440158 ( 51.1) ","247807 ( 31.3) "," 1751 ( 54.2) ","10368 ( 40.9) ","<0.001",""," 0.271"
"race (%)","","","","<0.001",""," 0.191","",""," ","","<0.001",""," 0.362"
"   White","1001855 ( 59.6) ","501522 ( 58.0) ","500332 ( 61.3) ","","","","499571 ( 58.0) ","487452 ( 61.6) "," 1951 ( 60.4) ","12880 ( 50.8) ","","",""
"   Black"," 508046 ( 30.2) ","255252 ( 29.5) ","252793 ( 31.0) ","","","","254624 ( 29.6) ","242223 ( 30.6) ","  628 ( 19.4) ","10570 ( 41.7) ","","",""
"   Native American","  10125 (  0.6) ","  5439 (  0.6) ","  4686 (  0.6) ","","","","  5431 (  0.6) ","  4551 (  0.6) ","    8 (  0.2) ","  135 (  0.5) ","","",""
"   Asian or PI","  24513 (  1.5) "," 12066 (  1.4) "," 12446 (  1.5) ","","",""," 12026 (  1.4) "," 12114 (  1.5) ","   40 (  1.2) ","  332 (  1.3) ","","",""
"   Hispanic","  88556 (  5.3) "," 62082 (  7.2) "," 26474 (  3.2) ","","",""," 61829 (  7.2) "," 25833 (  3.3) ","  253 (  7.8) ","  641 (  2.5) ","","",""
"   NH PI","   2328 (  0.1) ","   834 (  0.1) ","  1494 (  0.2) ","","","","   830 (  0.1) ","  1430 (  0.2) ","    4 (  0.1) ","   64 (  0.3) ","","",""
"   NA.","  46025 (  2.7) "," 27632 (  3.2) "," 18393 (  2.3) ","","",""," 27287 (  3.2) "," 17670 (  2.2) ","  345 ( 10.7) ","  723 (  2.9) ","","",""
"total_elig_months (mean (sd))","  10.97 (2.08)"," 11.18 (1.88)"," 10.74 (2.26)","<0.001",""," 0.213"," 11.18 (1.88)"," 10.74 (2.26)","10.93 (2.16)","10.90 (2.16)","<0.001",""," 0.110"
"elig_cat (%)","","",""," NaN",""," 0.195","",""," ",""," NaN",""," 0.107"
"   0 months","      0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   1-3 months","      0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   4-6 months"," 126007 (  7.5) "," 49119 (  5.7) "," 76888 (  9.4) ","","",""," 48844 (  5.7) "," 74799 (  9.5) ","  275 (  8.5) "," 2089 (  8.2) ","","",""
"   7-9 months"," 159853 (  9.5) "," 67430 (  7.8) "," 92423 ( 11.3) ","","",""," 67135 (  7.8) "," 89831 ( 11.4) ","  295 (  9.1) "," 2592 ( 10.2) ","","",""
"   9-12 months","1395588 ( 83.0) ","748278 ( 86.5) ","647307 ( 79.3) ","","","","745619 ( 86.5) ","626643 ( 79.2) "," 2659 ( 82.3) ","20664 ( 81.5) ","","",""
"AKI = 1 (%)","   6649 (  0.4) ","   180 (  0.0) ","  6469 (  0.8) ","<0.001",""," 0.121","     0 (  0.0) ","     0 (  0.0) ","  180 (  5.6) "," 6469 ( 25.5) ","<0.001",""," 0.486"
"ANEMIA = 1 (%)","  96967 (  5.8) "," 30609 (  3.5) "," 66358 (  8.1) ","<0.001",""," 0.197"," 30262 (  3.5) "," 54873 (  6.9) ","  347 ( 10.7) ","11485 ( 45.3) ","<0.001",""," 0.582"
"ASHD = 1 (%)","  29530 (  1.8) ","   272 (  0.0) "," 29258 (  3.6) ","<0.001",""," 0.269","   266 (  0.0) "," 24090 (  3.0) ","    6 (  0.2) "," 5168 ( 20.4) ","<0.001",""," 0.417"
"CABG = 1 (%)","    376 (  0.0) ","     0 (  0.0) ","   376 (  0.0) ","<0.001",""," 0.030","     0 (  0.0) ","   247 (  0.0) ","    0 (  0.0) ","  129 (  0.5) ","<0.001",""," 0.057"
"CANCER = 1 (%)","  20577 (  1.2) ","  1313 (  0.2) "," 19264 (  2.4) ","<0.001",""," 0.199","  1178 (  0.1) "," 16935 (  2.1) ","  135 (  4.2) "," 2329 (  9.2) ","<0.001",""," 0.256"
"CASCEA = 1 (%)","    154 (  0.0) ","     1 (  0.0) ","   153 (  0.0) ","<0.001",""," 0.019","     1 (  0.0) ","   125 (  0.0) ","    0 (  0.0) ","   28 (  0.1) ","<0.001",""," 0.028"
