"","Overall","0","1","p","test","SMD","White","Black","Native American","Asian or PI","Hispanic","NH PI","NA.","p","test","SMD"
"n","2142262","1698661","29740","","","","1251981","640676","13026","33206","118939"," 3039","81395","","",""
"EL_SEX_CD = M (%)"," 921634 ( 43.0) "," 715800 ( 42.1) ","12932 ( 43.5) ","<0.001",""," 0.027"," 531287 ( 42.4) ","273336 ( 42.7) "," 5738 ( 44.1) ","14856 ( 44.7) "," 54163 ( 45.5) "," 1338 ( 44.0) ","40916 ( 50.3) ","<0.001",""," 0.057"
"race (%)","","","","<0.001",""," 0.246","","","","",""," ","","<0.001",""," NaN"
"   White","1251981 ( 58.4) "," 999555 ( 58.8) ","14797 ( 49.8) ","","","","1251981 (100.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   Black"," 640676 ( 29.9) "," 505395 ( 29.8) ","11826 ( 39.8) ","","","","      0 (  0.0) ","640676 (100.0) ","    0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   Native American","  13026 (  0.6) ","  10375 (  0.6) ","  154 (  0.5) ","","","","      0 (  0.0) ","     0 (  0.0) ","13026 (100.0) ","    0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   Asian or PI","  33206 (  1.6) ","  24969 (  1.5) ","  410 (  1.4) ","","","","      0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","33206 (100.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   Hispanic"," 118939 (  5.6) ","  89448 (  5.3) ","  935 (  3.1) ","","","","      0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","118939 (100.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   NH PI","   3039 (  0.1) ","   2324 (  0.1) ","   99 (  0.3) ","","","","      0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) "," 3039 (100.0) ","    0 (  0.0) ","","",""
"   NA.","  81395 (  3.8) ","  66595 (  3.9) "," 1519 (  5.1) ","","","","      0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","81395 (100.0) ","","",""
"total_elig_months (mean (sd))","  10.66 (2.37)","  10.95 (2.11)","10.92 (2.13)"," 0.051",""," 0.011","  10.60 (2.41)"," 10.89 (2.18)","10.47 (2.50)","10.60 (2.43)"," 10.45 (2.52)","10.90 (2.25)","10.08 (2.72)","<0.001",""," 0.135"
"elig_cat (%)","","",""," NaN",""," 0.022","","","","",""," ",""," NaN",""," 0.133"
"   0 months","      0 (  0.0) ","      0 (  0.0) ","    0 (  0.0) ","","","","      0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   1-3 months","      0 (  0.0) ","      0 (  0.0) ","    0 (  0.0) ","","","","      0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   4-6 months"," 227325 ( 10.6) "," 129227 (  7.6) "," 2336 (  7.9) ","","",""," 139186 ( 11.1) "," 53506 (  8.4) "," 1649 ( 12.7) "," 3760 ( 11.3) "," 15451 ( 13.0) ","  270 (  8.9) ","13503 ( 16.6) ","","",""
"   7-9 months"," 240722 ( 11.2) "," 166312 (  9.8) "," 3081 ( 10.4) ","","",""," 146287 ( 11.7) "," 62286 (  9.7) "," 1588 ( 12.2) "," 3815 ( 11.5) "," 14372 ( 12.1) ","  272 (  9.0) ","12102 ( 14.9) ","","",""
