"","Overall","[0,21)","[21,120)","p","test","SMD","[0,21):0","[21,120):0","[0,21):1","[21,120):1","p","test","SMD"
"n","1722837","929899","792938","","","","926093","758035"," 3806","34903","","",""
"EL_SEX_CD = M (%)"," 731472 ( 42.5) ","470448 ( 50.6) ","261024 ( 32.9) ","<0.001",""," 0.364","468405 ( 50.6) ","246065 ( 32.5) "," 2043 ( 53.7) ","14959 ( 42.9) ","<0.001",""," 0.244"
"race (%)","","","","<0.001",""," 0.264","",""," ","","<0.001",""," 0.383"
"   White"," 980465 ( 56.9) ","507660 ( 54.6) ","472805 ( 59.6) ","","","","505659 ( 54.6) ","455951 ( 60.1) "," 2001 ( 52.6) ","16854 ( 48.3) ","","",""
"   Black"," 506849 ( 29.4) ","260998 ( 28.1) ","245851 ( 31.0) ","","","","260203 ( 28.1) ","231391 ( 30.5) ","  795 ( 20.9) ","14460 ( 41.4) ","","",""
"   Native American","  10871 (  0.6) ","  6168 (  0.7) ","  4703 (  0.6) ","","","","  6147 (  0.7) ","  4534 (  0.6) ","   21 (  0.6) ","  169 (  0.5) ","","",""
"   Asian or PI","  27323 (  1.6) "," 14210 (  1.5) "," 13113 (  1.7) ","","",""," 14159 (  1.5) "," 12597 (  1.7) ","   51 (  1.3) ","  516 (  1.5) ","","",""
"   Hispanic","  92171 (  5.3) "," 68110 (  7.3) "," 24061 (  3.0) ","","",""," 67854 (  7.3) "," 23228 (  3.1) ","  256 (  6.7) ","  833 (  2.4) ","","",""
"   NH PI","   2357 (  0.1) ","   903 (  0.1) ","  1454 (  0.2) ","","","","   898 (  0.1) ","  1362 (  0.2) ","    5 (  0.1) ","   92 (  0.3) ","","",""
"   NA."," 102801 (  6.0) "," 71850 (  7.7) "," 30951 (  3.9) ","","",""," 71173 (  7.7) "," 28972 (  3.8) ","  677 ( 17.8) "," 1979 (  5.7) ","","",""
"total_elig_months (mean (sd))","  10.83 (2.17)"," 11.01 (2.04)"," 10.63 (2.29)","<0.001",""," 0.175"," 11.01 (2.04)"," 10.61 (2.30)","10.81 (2.23)","10.93 (2.12)","<0.001",""," 0.100"
"elig_cat (%)","","",""," NaN",""," 0.217","",""," ",""," NaN",""," 0.123"
"   0 months","      0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   1-3 months","      0 (  0.0) ","     0 (  0.0) ","     0 (  0.0) ","","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","","",""
"   4-6 months"," 137363 (  8.0) "," 64083 (  6.9) "," 73280 (  9.2) ","","",""," 63744 (  6.9) "," 70680 (  9.3) ","  339 (  8.9) "," 2600 (  7.4) ","","",""
"   7-9 months"," 213239 ( 12.4) "," 88604 (  9.5) ","124635 ( 15.7) ","","",""," 88176 (  9.5) ","120660 ( 15.9) ","  428 ( 11.2) "," 3975 ( 11.4) ","","",""
"   9-12 months","1372235 ( 79.6) ","777212 ( 83.6) ","595023 ( 75.0) ","","","","774173 ( 83.6) ","566695 ( 74.8) "," 3039 ( 79.8) ","28328 ( 81.2) ","","",""
"AKI = 1 (%)","   9128 (  0.5) ","   426 (  0.0) ","  8702 (  1.1) ","<0.001",""," 0.140","     0 (  0.0) ","     0 (  0.0) ","  426 ( 11.2) "," 8702 ( 24.9) ","<0.001",""," 0.500"
"ANEMIA = 1 (%)","  95332 (  5.5) "," 28875 (  3.1) "," 66457 (  8.4) ","<0.001",""," 0.228"," 28370 (  3.1) "," 53650 (  7.1) ","  505 ( 13.3) ","12807 ( 36.7) ","<0.001",""," 0.505"
"ASHD = 1 (%)","  37699 (  2.2) ","   234 (  0.0) "," 37465 (  4.7) ","<0.001",""," 0.312","   222 (  0.0) "," 29722 (  3.9) ","   12 (  0.3) "," 7743 ( 22.2) ","<0.001",""," 0.443"
"CABG = 1 (%)","    392 (  0.0) ","     1 (  0.0) ","   391 (  0.0) ","<0.001",""," 0.031","     1 (  0.0) ","   246 (  0.0) ","    0 (  0.0) ","  145 (  0.4) ","<0.001",""," 0.053"
"CANCER = 1 (%)","  23690 (  1.4) ","  1587 (  0.2) "," 22103 (  2.8) ","<0.001",""," 0.218","  1398 (  0.2) "," 18803 (  2.5) ","  189 (  5.0) "," 3300 (  9.5) ","<0.001",""," 0.261"
"CASCEA = 1 (%)","    185 (  0.0) ","     0 (  0.0) ","   185 (  0.0) ","<0.001",""," 0.022","     0 (  0.0) ","   134 (  0.0) ","    0 (  0.0) ","   51 (  0.1) ","<0.001",""," 0.032"
"CHF = 1 (%)","  27952 (  1.6) ","   834 (  0.1) "," 27118 (  3.4) ","<0.001",""," 0.256","   743 (  0.1) "," 18678 (  2.5) ","   91 (  2.4) "," 8440 ( 24.2) ","<0.001",""," 0.429"
"CKD = 1 (%)","  38709 (  2.2) ","  3806 (  0.4) "," 34903 (  4.4) ","<0.001",""," 0.263","     0 (  0.0) ","     0 (  0.0) "," 3806 (100.0) ","34903 (100.0) ","<0.001",""," NaN"
"CKD_STAGE_1 = 1 (%)","    559 (  0.0) ","    99 (  0.0) ","   460 (  0.1) ","<0.001",""," 0.026","     0 (  0.0) ","     0 (  0.0) ","   99 (  2.6) ","  460 (  1.3) ","<0.001",""," 0.147"
"CKD_STAGE_2 = 1 (%)","   1344 (  0.1) ","    71 (  0.0) ","  1273 (  0.2) ","<0.001",""," 0.053","     0 (  0.0) ","     0 (  0.0) ","   71 (  1.9) "," 1273 (  3.6) ","<0.001",""," 0.175"
"CKD_STAGE_3 = 1 (%)","   6101 (  0.4) ","   106 (  0.0) ","  5995 (  0.8) ","<0.001",""," 0.121","     0 (  0.0) ","     0 (  0.0) ","  106 (  2.8) "," 5995 ( 17.2) ","<0.001",""," 0.377"
"CKD_STAGE_4 = 1 (%)","   2340 (  0.1) ","    50 (  0.0) ","  2290 (  0.3) ","<0.001",""," 0.074","     0 (  0.0) ","     0 (  0.0) ","   50 (  1.3) "," 2290 (  6.6) ","<0.001",""," 0.225"
"CKD_STAGE_5 = 1 (%)","   5974 (  0.3) ","   109 (  0.0) ","  5865 (  0.7) ","<0.001",""," 0.119","     0 (  0.0) ","     0 (  0.0) ","  109 (  2.9) "," 5865 ( 16.8) ","<0.001",""," 0.373"
"CLINIC = 1 (%)"," 395214 ( 22.9) ","234796 ( 25.2) ","160418 ( 20.2) ","<0.001",""," 0.120","233813 ( 25.2) ","155150 ( 20.5) ","  983 ( 25.8) "," 5268 ( 15.1) ","<0.001",""," 0.153"
"COPD = 1 (%)"," 181198 ( 10.5) "," 77299 (  8.3) ","103899 ( 13.1) ","<0.001",""," 0.155"," 76797 (  8.3) "," 93894 ( 12.4) ","  502 ( 13.2) ","10005 ( 28.7) ","<0.001",""," 0.277"
"CVA = 1 (%)","  22295 (  1.3) ","  1086 (  0.1) "," 21209 (  2.7) ","<0.001",""," 0.219","  1019 (  0.1) "," 17241 (  2.3) ","   67 (  1.8) "," 3968 ( 11.4) ","<0.001",""," 0.278"
"CVD_HOSP = 1 (%)","  17221 (  1.0) "," 10409 (  1.1) ","  6812 (  0.9) ","<0.001",""," 0.026"," 10101 (  1.1) ","  5648 (  0.7) ","  308 (  8.1) "," 1164 (  3.3) ","<0.001",""," 0.214"
