,Overall,"(0,21]:0","(21,120]:0","(0,21]:1","(21,120]:1",p,test,SMD
n,1722837,952675,731453,4080,34629,,,
EL_SEX_CD = M (%), 731472 ( 42.5) ,477566 ( 50.1) ,236904 ( 32.4) , 2135 ( 52.3) ,14867 ( 42.9) ,<0.001,,0.229
EL_RACE_ETHNCY_CD (%),,,, ,,<0.001,,0.375
1, 980465 ( 56.9) ,519685 ( 54.6) ,441925 ( 60.4) , 2162 ( 53.0) ,16693 ( 48.2) ,,,
2, 506849 ( 29.4) ,269851 ( 28.3) ,221743 ( 30.3) ,  873 ( 21.4) ,14382 ( 41.5) ,,,
3,  10871 (  0.6) ,  6319 (  0.7) ,  4362 (  0.6) ,   24 (  0.6) ,  166 (  0.5) ,,,
4,  27323 (  1.6) , 14515 (  1.5) , 12241 (  1.7) ,   51 (  1.2) ,  516 (  1.5) ,,,
5,  92171 (  5.3) , 69022 (  7.2) , 22060 (  3.0) ,  267 (  6.5) ,  822 (  2.4) ,,,
6,   2357 (  0.1) ,   926 (  0.1) ,  1334 (  0.2) ,    5 (  0.1) ,   92 (  0.3) ,,,
9, 102801 (  6.0) , 72357 (  7.6) , 27788 (  3.8) ,  698 ( 17.1) , 1958 (  5.7) ,,,
total_elig_months (mean (sd)),  10.83 (2.17), 10.98 (2.06), 10.63 (2.28),10.80 (2.23),10.93 (2.12),<0.001,,0.09
AKI = 1 (%),   9128 (  0.5) ,     0 (  0.0) ,     0 (  0.0) ,  469 ( 11.5) , 8659 ( 25.0) ,<0.001,,0.501
ANEMIA = 1 (%),  95332 (  5.5) , 29918 (  3.1) , 52102 (  7.1) ,  566 ( 13.9) ,12746 ( 36.8) ,<0.001,,0.506
ASHD = 1 (%),  37699 (  2.2) ,   268 (  0.0) , 29676 (  4.1) ,   14 (  0.3) , 7741 ( 22.4) ,<0.001,,0.446
CABG = 1 (%),    392 (  0.0) ,     1 (  0.0) ,   246 (  0.0) ,    0 (  0.0) ,  145 (  0.4) ,<0.001,,0.053
CANCER = 1 (%),  23690 (  1.4) ,  1489 (  0.2) , 18712 (  2.6) ,  195 (  4.8) , 3294 (  9.5) ,<0.001,,0.259
CASCEA = 1 (%),    185 (  0.0) ,     1 (  0.0) ,   133 (  0.0) ,    0 (  0.0) ,   51 (  0.1) ,<0.001,,0.032
CHF = 1 (%),  27952 (  1.6) ,   791 (  0.1) , 18630 (  2.5) ,   97 (  2.4) , 8434 ( 24.4) ,<0.001,,0.432
CKD = 1 (%),  38709 (  2.2) ,     0 (  0.0) ,     0 (  0.0) , 4080 (100.0) ,34629 (100.0) ,<0.001,, NaN
CKD_STAGE_1 = 1 (%),    559 (  0.0) ,     0 (  0.0) ,     0 (  0.0) ,  106 (  2.6) ,  453 (  1.3) ,<0.001,,0.147
CKD_STAGE_2 = 1 (%),   1344 (  0.1) ,     0 (  0.0) ,     0 (  0.0) ,   75 (  1.8) , 1269 (  3.7) ,<0.001,,0.175
CKD_STAGE_3 = 1 (%),   6101 (  0.4) ,     0 (  0.0) ,     0 (  0.0) ,  111 (  2.7) , 5990 ( 17.3) ,<0.001,,0.378
CKD_STAGE_4 = 1 (%),   2340 (  0.1) ,     0 (  0.0) ,     0 (  0.0) ,   52 (  1.3) , 2288 (  6.6) ,<0.001,,0.225
CKD_STAGE_5 = 1 (%),   5974 (  0.3) ,     0 (  0.0) ,     0 (  0.0) ,  117 (  2.9) , 5857 ( 16.9) ,<0.001,,0.374
CLINIC = 1 (%), 395214 ( 22.9) ,239842 ( 25.2) ,149121 ( 20.4) , 1049 ( 25.7) , 5202 ( 15.0) ,<0.001,,0.153
COPD = 1 (%), 181198 ( 10.5) , 78692 (  8.3) , 91999 ( 12.6) ,  546 ( 13.4) , 9961 ( 28.8) ,<0.001,,0.278
CVA = 1 (%),  22295 (  1.3) ,  1080 (  0.1) , 17180 (  2.3) ,   70 (  1.7) , 3965 ( 11.4) ,<0.001,,0.281
