"","Overall","0","1","p","test","SMD","White","Black","Native American","Asian or PI","Hispanic","NH PI","NA.","p","test","SMD"
"n","2093776","1684128","38709","","","","1187416","620597","13222","34576","116902"," 2932","118131","","",""
"EL_SEX_CD = M (%)"," 903327 ( 43.1) "," 714470 ( 42.4) ","17002 ( 43.9) ","<0.001",""," 0.030"," 503698 ( 42.4) ","263926 ( 42.5) "," 5730 ( 43.3) ","15547 ( 45.0) "," 52930 ( 45.3) "," 1268 ( 43.2) "," 60228 ( 51.0) ","<0.001",""," 0.063"
"EL_RACE_ETHNCY_CD (%)","","","","<0.001",""," 0.252","","","","",""," ","","<0.001",""," NaN"
"   1","1187416 ( 56.7) "," 961610 ( 57.1) ","18855 ( 48.7) ","","","","1187416 (100.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) ","","",""
"   2"," 620597 ( 29.6) "," 491594 ( 29.2) ","15255 ( 39.4) ","","","","      0 (  0.0) ","620597 (100.0) ","    0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) ","","",""
"   3","  13222 (  0.6) ","  10681 (  0.6) ","  190 (  0.5) ","","","","      0 (  0.0) ","     0 (  0.0) ","13222 (100.0) ","    0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) ","","",""
"   4","  34576 (  1.7) ","  26756 (  1.6) ","  567 (  1.5) ","","","","      0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","34576 (100.0) ","     0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) ","","",""
"   5"," 116902 (  5.6) ","  91082 (  5.4) "," 1089 (  2.8) ","","","","      0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","116902 (100.0) ","    0 (  0.0) ","     0 (  0.0) ","","",""
"   6","   2932 (  0.1) ","   2260 (  0.1) ","   97 (  0.3) ","","","","      0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) "," 2932 (100.0) ","     0 (  0.0) ","","",""
"   9"," 118131 (  5.6) "," 100145 (  5.9) "," 2656 (  6.9) ","","","","      0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","118131 (100.0) ","","",""
"total_elig_months (mean (sd))","  10.59 (2.37)","  10.83 (2.17)","10.92 (2.13)","<0.001",""," 0.041","  10.57 (2.39)"," 10.75 (2.21)","10.41 (2.49)","10.61 (2.39)"," 10.47 (2.48)","10.65 (2.37)"," 10.19 (2.66)","<0.001",""," 0.089"
"AKI = 1 (%)","   9128 (  0.5) ","      0 (  0.0) "," 9128 ( 23.6) ","<0.001",""," 0.786","   3868 (  0.4) ","  4126 (  0.8) ","   36 (  0.3) ","  103 (  0.4) ","   187 (  0.2) ","   24 (  1.0) ","   784 (  0.8) ","<0.001",""," 0.048"
"ANEMIA = 1 (%)","  95332 (  5.5) ","  82020 (  4.9) ","13312 ( 34.4) ","<0.001",""," 0.801","  43496 (  4.4) "," 37836 (  7.5) ","  381 (  3.5) "," 1990 (  7.3) ","  5217 (  5.7) ","  207 (  8.8) ","  6205 (  6.0) ","<0.001",""," 0.095"
"ASHD = 1 (%)","  37699 (  2.2) ","  29944 (  1.8) "," 7755 ( 20.0) ","<0.001",""," 0.613","  21132 (  2.2) "," 12604 (  2.5) ","  173 (  1.6) ","  800 (  2.9) ","   636 (  0.7) ","  110 (  4.7) ","  2244 (  2.2) ","<0.001",""," 0.093"
"CABG = 1 (%)","    392 (  0.0) ","    247 (  0.0) ","  145 (  0.4) ","<0.001",""," 0.082","    254 (  0.0) ","    74 (  0.0) ","    0 (  0.0) ","   11 (  0.0) ","     9 (  0.0) ","    2 (  0.1) ","    42 (  0.0) ","<0.001",""," 0.019"
"CANCER = 1 (%)","  23690 (  1.4) ","  20201 (  1.2) "," 3489 (  9.0) ","<0.001",""," 0.361","  13739 (  1.4) ","  6899 (  1.4) ","  110 (  1.0) ","  361 (  1.3) ","   554 (  0.6) ","   43 (  1.8) ","  1984 (  1.9) ","<0.001",""," 0.048"
"CASCEA = 1 (%)","    185 (  0.0) ","    134 (  0.0) ","   51 (  0.1) ","<0.001",""," 0.047","    131 (  0.0) ","    26 (  0.0) ","    2 (  0.0) ","    3 (  0.0) ","     2 (  0.0) ","    1 (  0.0) ","    20 (  0.0) ","<0.001",""," 0.011"
"CHF = 1 (%)","  27952 (  1.6) ","  19421 (  1.2) "," 8531 ( 22.0) ","<0.001",""," 0.690","  14522 (  1.5) "," 10742 (  2.1) ","  118 (  1.1) ","  334 (  1.2) ","   454 (  0.5) ","   75 (  3.2) ","  1707 (  1.7) ","<0.001",""," 0.079"
"CKD = 1 (%)","  38709 (  2.2) ","      0 (  0.0) ","38709 (100.0) ","<0.001",""," NaN","  18855 (  1.9) "," 15255 (  3.0) ","  190 (  1.7) ","  567 (  2.1) ","  1089 (  1.2) ","   97 (  4.1) ","  2656 (  2.6) ","<0.001",""," 0.074"
"CKD_STAGE_1 = 1 (%)","    559 (  0.0) ","      0 (  0.0) ","  559 (  1.4) ","<0.001",""," 0.171","    246 (  0.0) ","   253 (  0.0) ","    1 (  0.0) ","    8 (  0.0) ","    13 (  0.0) ","    3 (  0.1) ","    35 (  0.0) ","<0.001",""," 0.018"
"CKD_STAGE_2 = 1 (%)","   1344 (  0.1) ","      0 (  0.0) "," 1344 (  3.5) ","<0.001",""," 0.268","    540 (  0.1) ","   666 (  0.1) ","    4 (  0.0) ","   11 (  0.0) ","    26 (  0.0) ","    5 (  0.2) ","    92 (  0.1) ","<0.001",""," 0.024"
"CKD_STAGE_3 = 1 (%)","   6101 (  0.4) ","      0 (  0.0) "," 6101 ( 15.8) ","<0.001",""," 0.612","   2907 (  0.3) ","  2578 (  0.5) ","   21 (  0.2) ","   95 (  0.3) ","   114 (  0.1) ","   16 (  0.7) ","   370 (  0.4) ","<0.001",""," 0.037"
"CKD_STAGE_4 = 1 (%)","   2340 (  0.1) ","      0 (  0.0) "," 2340 (  6.0) ","<0.001",""," 0.359","   1080 (  0.1) ","   980 (  0.2) ","    8 (  0.1) ","   36 (  0.1) ","    63 (  0.1) ","   10 (  0.4) ","   163 (  0.2) ","<0.001",""," 0.029"
"CKD_STAGE_5 = 1 (%)","   5974 (  0.3) ","      0 (  0.0) "," 5974 ( 15.4) ","<0.001",""," 0.604","   2073 (  0.2) ","  3203 (  0.6) ","   34 (  0.3) ","   95 (  0.3) ","   165 (  0.2) ","   24 (  1.0) ","   380 (  0.4) ","<0.001",""," 0.046"
"CLINIC = 1 (%)"," 395214 ( 22.9) "," 388963 ( 23.1) "," 6251 ( 16.1) ","<0.001",""," 0.176"," 248613 ( 25.4) "," 82994 ( 16.4) "," 5390 ( 49.6) "," 3899 ( 14.3) "," 32190 ( 34.9) ","  358 ( 15.2) "," 21770 ( 21.2) ","<0.001",""," 0.341"
