"","Overall","0","1","p","test","0","1","p","test","White","Black","Native American","Asian or PI","Hispanic","NH PI","NA.","p","test"
"n","956836","948410"," 8426","","","952756"," 4080","","","521889","270752"," 6344","14567","69296","  931","73057","",""
"EL_SEX_CD = M (%)","479720 ( 50.1) ","475841 ( 50.2) "," 3879 ( 46.0) ","<0.001","","477585 ( 50.1) "," 2135 ( 52.3) "," 0.005","","260534 ( 49.9) ","133406 ( 49.3) "," 3164 ( 49.9) "," 7506 ( 51.5) ","34403 ( 49.6) ","  467 ( 50.2) ","40240 ( 55.1) ","<0.001",""
"race (%)","",""," ","<0.001","",""," ","<0.001","","",""," ","","","  ","","<0.001",""
"   White","521889 ( 54.5) ","517174 ( 54.5) "," 4715 ( 56.0) ","","","519727 ( 54.5) "," 2162 ( 53.0) ","","","521889 (100.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","",""
"   Black","270752 ( 28.3) ","268781 ( 28.3) "," 1971 ( 23.4) ","","","269879 ( 28.3) ","  873 ( 21.4) ","","","     0 (  0.0) ","270752 (100.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","",""
"   Native American","  6344 (  0.7) ","  6300 (  0.7) ","   44 (  0.5) ","","","  6320 (  0.7) ","   24 (  0.6) ","","","     0 (  0.0) ","     0 (  0.0) "," 6344 (100.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","",""
"   Asian or PI"," 14567 (  1.5) "," 14464 (  1.5) ","  103 (  1.2) ","",""," 14516 (  1.5) ","   51 (  1.2) ","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","14567 (100.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","",""
"   Hispanic"," 69296 (  7.2) "," 68790 (  7.3) ","  506 (  6.0) ","",""," 69029 (  7.2) ","  267 (  6.5) ","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","69296 (100.0) ","    0 (  0.0) ","    0 (  0.0) ","",""
"   NH PI","   931 (  0.1) ","   922 (  0.1) ","    9 (  0.1) ","","","   926 (  0.1) ","    5 (  0.1) ","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","  931 (100.0) ","    0 (  0.0) ","",""
"   NA."," 73057 (  7.6) "," 71979 (  7.6) "," 1078 ( 12.8) ","",""," 72359 (  7.6) ","  698 ( 17.1) ","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","73057 (100.0) ","",""
"total_elig_months (mean (sd))"," 10.98 (2.06)"," 10.98 (2.06)","11.05 (1.99)"," 0.001",""," 10.98 (2.06)","10.80 (2.23)","<0.001",""," 11.00 (2.03)"," 11.14 (1.86)","10.84 (2.18)","11.05 (2.01)","10.96 (2.09)","10.82 (2.16)","10.22 (2.63)","<0.001",""
"elig_cat (%)","",""," "," NaN","",""," "," NaN","","",""," ","","","  ",""," NaN",""
"   0 months","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","","","     0 (  0.0) ","    0 (  0.0) ","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","",""
"   1-3 months","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","","","     0 (  0.0) ","    0 (  0.0) ","","","     0 (  0.0) ","     0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","    0 (  0.0) ","",""
"   4-6 months"," 67674 (  7.1) "," 67138 (  7.1) ","  536 (  6.4) ","",""," 67313 (  7.1) ","  361 (  8.8) ","",""," 35634 (  6.8) "," 14425 (  5.3) ","  527 (  8.3) ","  994 (  6.8) "," 5257 (  7.6) ","   70 (  7.5) ","10767 ( 14.7) ","",""
"   7-9 months"," 93887 (  9.8) "," 93095 (  9.8) ","  792 (  9.4) ","",""," 93418 (  9.8) ","  469 ( 11.5) ","",""," 50686 (  9.7) "," 23858 (  8.8) ","  700 ( 11.0) "," 1284 (  8.8) "," 6515 (  9.4) ","  121 ( 13.0) ","10723 ( 14.7) ","",""
"   9-12 months","795275 ( 83.1) ","788177 ( 83.1) "," 7098 ( 84.2) ","","","792025 ( 83.1) "," 3250 ( 79.7) ","","","435569 ( 83.5) ","232469 ( 85.9) "," 5117 ( 80.7) ","12289 ( 84.4) ","57524 ( 83.0) ","  740 ( 79.5) ","51567 ( 70.6) ","",""
"AKI = 1 (%)","   469 (  0.0) ","   245 (  0.0) ","  224 (  2.7) ","<0.001","","     0 (  0.0) ","  469 ( 11.5) ","<0.001","","   172 (  0.0) ","   165 (  0.1) ","    2 (  0.0) ","    4 (  0.0) ","   16 (  0.0) ","    1 (  0.1) ","  109 (  0.1) ","<0.001",""
"ANEMIA = 1 (%)"," 30489 (  3.2) "," 29639 (  3.1) ","  850 ( 10.1) ","<0.001",""," 29923 (  3.1) ","  566 ( 13.9) ","<0.001",""," 12058 (  2.3) "," 11211 (  4.1) ","   92 (  1.5) ","  689 (  4.7) "," 3600 (  5.2) ","   44 (  4.7) "," 2795 (  3.8) ","<0.001",""
"ASHD = 1 (%)","   283 (  0.0) ","   271 (  0.0) ","   12 (  0.1) ","<0.001","","   269 (  0.0) ","   14 (  0.3) ","<0.001","","   141 (  0.0) ","   112 (  0.0) ","    0 (  0.0) ","    3 (  0.0) ","    8 (  0.0) ","    1 (  0.1) ","   18 (  0.0) ","<0.001",""
