COUNTY,year,n,CKD,htn,dm,ed,anemia
1,2007,1341,13,82,54,288,48
3,2007,1023,9,42,65,253,16
5,2007,11472,96,273,376,3890,141
7,2007,5040,74,315,288,1837,119
9,2007,3317,24,95,137,722,75
11,2007,3272,25,161,182,1035,118
13,2007,1128,11,52,54,256,27
15,2007,5703,53,163,204,2186,96
17,2007,15042,158,552,636,4394,267
19,2007,2111,18,64,81,489,44
21,2007,25644,352,1176,1143,9180,713
23,2007,6601,71,236,227,2799,127
25,2007,23207,277,1049,1108,8346,766
27,2007,6397,73,238,252,1736,97
29,2007,3572,23,95,130,827,84
31,2007,4354,39,169,180,1295,107
33,2007,4920,42,190,175,1151,82
35,2007,7035,87,402,363,2719,176
37,2007,8897,93,231,309,2842,179
39,2007,2013,28,83,77,712,52
41,2007,5380,30,147,222,1232,76
43,2007,3414,28,69,86,871,39
45,2007,10204,89,285,338,3135,205
47,2007,4343,39,130,116,1167,67
49,2007,72441,1072,3893,3170,24008,2703
51,2007,4409,51,259,252,1924,201
53,2007,2386,14,84,83,671,43
55,2007,10421,112,313,297,2300,159
57,2007,6631,88,251,285,1731,158
59,2007,6254,61,224,247,2900,101
61,2007,4693,36,180,229,975,83
63,2007,4729,43,188,176,1317,85
65,2007,30305,370,1071,1226,9047,789
67,2007,7460,91,189,272,2524,166
69,2007,4271,49,200,202,1275,174
71,2007,1805,13,62,72,256,30
73,2007,7383,104,272,327,2096,175
75,2007,22165,231,957,834,6816,491
77,2007,31040,390,1197,1188,11321,627
79,2007,3245,19,111,136,979,111
81,2007,78324,927,2712,2723,23025,1767
83,2007,203,1,12,10,44,2
85,2007,2110,23,115,158,691,54
87,2007,8080,89,255,267,2164,226
89,2007,1310,13,41,49,268,27
91,2007,11556,140,415,481,4206,304
93,2007,8041,72,171,208,2634,126
95,2007,1067,8,47,50,292,12
97,2007,1286,8,37,38,329,15
99,2007,76317,930,4013,3642,23540,3505
101,2007,3403,32,145,166,1062,82
103,2007,7426,57,184,253,1820,129
105,2007,5003,53,174,194,2188,186
107,2007,5843,59,193,209,1944,81
109,2007,2821,36,99,114,849,54
111,2007,10038,144,416,402,3518,277
113,2007,2139,23,70,92,550,55
115,2007,14681,204,674,570,5777,409
117,2007,9838,114,318,391,3331,152
119,2007,1803,30,103,99,380,46
121,2007,31869,423,1197,1405,13274,767
123,2007,6975,81,163,290,2140,112
125,2007,84395,1325,4959,4326,25784,4085
127,2007,5540,56,136,241,2032,116
129,2007,3606,36,171,180,1171,194
131,2007,919,8,35,36,154,16
133,2007,4432,50,185,218,1504,67
135,2007,1246,13,50,63,338,42
137,2007,4246,37,111,163,1010,103
139,2007,21159,220,440,580,5841,332
141,2007,1869,19,63,80,363,44
143,2007,4508,65,238,232,1208,136
145,2007,34186,447,1728,1662,11329,921
147,2007,21147,230,847,807,7413,422
149,2007,9391,93,317,328,3586,184
151,2007,6443,78,257,257,1956,123
153,2007,1455,9,46,51,295,16
155,2007,8933,82,248,295,2308,208
157,2007,7926,55,253,263,2146,132
159,2007,13140,128,436,480,4279,288
161,2007,25057,339,874,847,8848,676
163,2007,328884,6164,23590,17756,115034,16389
165,2007,6386,55,248,244,1916,205
1,2008,1587,16,109,76,405,82
3,2008,1300,16,78,83,460,33
5,2008,13390,159,468,507,5123,235
7,2008,5489,97,356,349,2404,165
9,2008,3669,29,118,182,1005,121
11,2008,3768,56,271,243,1478,239
13,2008,1356,15,78,71,388,35
15,2008,6354,57,255,277,2479,125
17,2008,17547,212,979,900,6495,489
19,2008,2475,26,106,122,836,45
21,2008,29752,493,1957,1591,11358,1038
23,2008,7919,86,406,299,3416,218
25,2008,27221,373,1684,1481,10373,1369
27,2008,7594,87,381,341,2538,146
29,2008,3970,28,136,182,1111,111
31,2008,4555,65,216,211,1388,127
33,2008,5707,45,317,246,1710,127
35,2008,7395,119,547,437,2867,236
37,2008,11123,134,471,413,4330,336
39,2008,2383,35,130,114,1059,104
41,2008,6255,42,251,301,2015,94
43,2008,3995,40,150,143,1283,75
45,2008,11995,131,490,482,4886,359
47,2008,4624,40,211,143,1427,105
49,2008,89515,1596,7353,4765,36045,4758
51,2008,5000,83,432,316,2515,428
53,2008,2817,25,156,124,1049,67
55,2008,11995,127,458,437,3085,289
57,2008,7768,105,408,364,2614,212
59,2008,7480,79,374,319,3380,159
61,2008,5395,63,270,242,1551,122
63,2008,5477,60,346,255,1974,128
65,2008,36502,526,1926,1706,13176,1430
67,2008,9173,110,422,467,3854,270
69,2008,5045,61,347,272,1866,282
71,2008,2225,25,108,95,449,38
73,2008,8165,105,409,388,2568,262
75,2008,26144,346,1579,1138,9102,795
77,2008,36826,524,2035,1571,16278,1027
79,2008,3516,22,141,159,1178,151
81,2008,95310,1358,5011,3963,35540,2981
83,2008,216,3,13,8,53,5
85,2008,2499,40,200,199,1015,108
87,2008,9906,124,461,382,3380,438
89,2008,1486,16,64,62,347,34
91,2008,13799,160,657,637,5417,595
93,2008,9717,122,364,321,3637,261
95,2008,1268,9,80,63,449,25
97,2008,1486,18,63,57,481,35
99,2008,95775,1420,7399,5627,35890,7261
101,2008,3970,54,217,234,1493,149
103,2008,8544,75,351,353,2960,213
105,2008,5307,77,271,252,2502,248
107,2008,6941,89,351,297,2883,235
109,2008,3500,36,158,145,1296,75
111,2008,10280,179,536,485,3541,300
113,2008,2429,29,117,115,703,108
115,2008,17523,269,1206,817,6948,813
117,2008,11724,147,569,546,5075,267
119,2008,2201,29,153,127,582,78
121,2008,38043,597,2278,1948,18445,1236
123,2008,8234,110,303,389,3080,264
125,2008,102940,1784,8905,6725,37691,8057
127,2008,6400,69,255,323,2764,243
129,2008,4308,44,322,267,1652,371
131,2008,1036,7,58,48,229,32
133,2008,5256,70,326,283,2226,165
135,2008,1430,26,108,97,485,85
137,2008,4759,48,195,206,1386,168
139,2008,25499,279,790,764,8410,542
141,2008,2152,19,83,115,499,58
143,2008,5353,95,379,329,1821,222
145,2008,40590,600,3242,2443,17792,1712
147,2008,25752,318,1494,1198,9665,818
149,2008,11653,124,559,484,5019,252
151,2008,7508,105,457,353,2671,210
153,2008,1677,11,100,82,452,35
155,2008,10698,115,419,374,3530,303
157,2008,9470,98,464,387,3137,225
159,2008,15127,170,724,684,5876,403
161,2008,29736,478,1509,1226,11413,1022
163,2008,413422,8348,44891,29208,174963,36426
165,2008,7218,69,335,324,2335,348
1,2009,1622,26,101,91,478,55
3,2009,1326,21,81,70,488,51
5,2009,14593,184,551,612,5648,243
7,2009,5830,102,374,359,2484,128
9,2009,3943,39,142,194,1179,111
11,2009,3869,49,260,246,1546,197
13,2009,1381,20,81,74,453,34
15,2009,7025,76,265,272,2758,136
17,2009,18563,237,1054,972,7299,490
19,2009,2592,27,110,117,873,52
21,2009,31572,584,2155,1761,12741,1045
23,2009,8666,121,453,343,3806,211
25,2009,29870,469,1897,1618,11856,1395
27,2009,8213,114,454,386,2875,176
29,2009,4283,43,158,173,1453,135
