Zipcode,CKD,htn,dm,ed,anemia,INF_HOSP,cvd_hosp,ZIP,STATE,STATECODE,CITY,COUNTY,COUNTYNM,year
00610,0,1,0,1,0,0,0,00610,72,PR,Anasco,11,Anasco,2007
00630,0,0,0,1,0,0,0,,,,,,,2007
00757,0,0,0,0,0,0,0,00757,72,PR,Santa Isabel,133,Santa Isabel,2007
00949,0,0,0,0,0,0,0,00949,72,PR,Toa Baja,137,Toa Baja,2007
01104,0,0,0,0,0,0,0,01104,25,MA,Springfield,13,Hampden,2007
01105,0,0,0,0,0,0,0,01105,25,MA,Springfield,13,Hampden,2007
01108,0,0,0,0,0,0,0,01108,25,MA,Springfield,13,Hampden,2007
01109,0,0,0,0,0,0,0,01109,25,MA,Springfield,13,Hampden,2007
01469,0,0,0,0,0,0,0,01469,25,MA,Townsend,17,Middlesex,2007
01742,0,0,0,0,0,0,0,01742,25,MA,Concord,17,Middlesex,2007
01853,0,0,0,0,0,0,0,01853,25,MA,Lowell,17,Middlesex,2007
01864,0,0,0,0,1,1,0,01864,25,MA,North Reading,17,Middlesex,2007
01904,0,0,0,2,0,1,0,01904,25,MA,Lynn,9,Essex,2007
01945,0,0,0,0,0,0,0,01945,25,MA,Marblehead,9,Essex,2007
02035,0,0,0,0,0,1,0,02035,25,MA,Foxboro,21,Norfolk,2007
02122,0,1,0,0,0,0,0,02122,25,MA,Dorchester,25,Suffolk,2007
02125,0,0,0,0,0,2,0,02125,25,MA,Dorchester,25,Suffolk,2007
02149,0,0,0,0,0,0,0,02149,25,MA,Everett,17,Middlesex,2007
02152,0,0,0,0,0,0,0,02152,25,MA,Winthrop,25,Suffolk,2007
02331,0,0,0,0,0,0,0,02331,25,MA,Duxbury,23,Plymouth,2007
02452,0,0,0,0,0,0,0,02452,25,MA,Waltham,17,Middlesex,2007
02459,0,0,0,0,0,0,0,02459,25,MA,Newton Center,17,Middlesex,2007
02601,0,0,0,0,0,0,0,02601,25,MA,Hyannis,1,Barnstable,2007
02648,0,0,0,0,0,0,0,02648,25,MA,Marstons Mills,1,Barnstable,2007
02760,0,0,0,0,0,0,0,02760,25,MA,North Attleboro,5,Bristol,2007
02813,0,0,0,1,0,0,0,02813,44,RI,Charlestown,9,Washington,2007
02840,0,0,0,2,0,1,0,02840,44,RI,Newport,5,Newport,2007
02852,0,0,0,0,0,0,0,02852,44,RI,North Kingstown,9,Washington,2007
02919,0,0,0,1,0,1,0,02919,44,RI,Johnston,7,Providence,2007
02920,0,0,0,0,0,0,0,02920,44,RI,Cranston,7,Providence,2007
03264,0,0,0,0,0,1,0,03264,33,NH,Plymouth,9,Grafton,2007
03440,0,0,0,0,0,0,0,03440,33,NH,Antrim,11,Hillsborough,2007
03570,0,0,0,1,0,1,0,03570,33,NH,Berlin,7,Coos,2007
03583,0,0,1,1,0,0,0,03583,33,NH,Jefferson,7,Coos,2007
03820,0,0,0,0,0,1,0,03820,33,NH,Dover,17,Strafford,2007
03824,0,0,0,0,0,0,1,03824,33,NH,Durham,17,Strafford,2007
03860,0,0,0,0,0,1,0,03860,33,NH,North Conway,3,Carroll,2007
04074,0,0,0,1,0,0,0,04074,23,ME,Scarborough,5,Cumberland,2007
04222,0,0,0,0,0,0,0,04222,23,ME,Durham,1,Androscoggin,2007
04240,0,1,0,2,0,0,0,04240,23,ME,Lewiston,1,Androscoggin,2007
04281,0,0,0,0,0,0,0,04281,23,ME,South Paris,17,Oxford,2007
04284,0,0,0,0,0,0,0,04284,23,ME,Wayne,11,Kennebec,2007
04330,0,0,0,0,0,0,0,04330,23,ME,Augusta,11,Kennebec,2007
04901,0,0,0,0,0,0,0,04901,23,ME,Waterville,11,Kennebec,2007
04928,0,0,0,0,0,0,0,04928,23,ME,Corinna,19,Penobscot,2007
05001,0,0,0,1,0,0,0,05001,50,VT,White River Junction,27,Windsor,2007
05442,0,0,0,1,0,0,0,05442,50,VT,Belvidere Center,15,Lamoille,2007
05457,0,0,0,1,0,0,0,05457,50,VT,Franklin,11,Franklin,2007
05676,0,1,0,2,0,1,0,05676,50,VT,Waterbury,23,Washington,2007
