var,Overall,PEDCKD,No_PEDCKD
n,956755,948330,8425
EL_SEX_CD = M (%),479701 ( 50.1),475822 ( 50.2),3879 ( 46.0)
race (%),NA,NA,NA
White,521847 ( 54.5),517133 ( 54.5),4714 ( 56.0)
Black,270724 ( 28.3),268753 ( 28.3),1971 ( 23.4)
Native American,6343 (  0.7),6299 (  0.7),44 (  0.5)
Asian or PI,14566 (  1.5),14463 (  1.5),103 (  1.2)
Hispanic,69289 (  7.2),68783 (  7.3),506 (  6.0)
NH PI,931 (  0.1),922 (  0.1),9 (  0.1)
NA.,73055 (  7.6),71977 (  7.6),1078 ( 12.8)
age (mean (sd)),9.40 (5.90),9.39 (5.89),10.45 (6.67)
