county,year,pts,pedckd,htn,dm,ed,anemia,fips,pop,pedckd_per_1000_pts,polyname
wayne,2013,470299,13803,66599,37259,204464,40002,26163,1822469,29.34941388,"michigan,wayne"
saginaw,2013,43448,1124,5089,3201,19608,2014,26145,200017,25.87000552,"michigan,saginaw"
genesee,2013,101083,2533,11302,6781,38499,5381,26049,425337,25.0586152,"michigan,genesee"
oakland,2013,134586,3251,14903,9610,48886,9802,26125,1207097,24.15555853,"michigan,oakland"
calhoun,2013,30389,723,2651,1924,12390,993,26025,136063,23.7915035,"michigan,calhoun"
kalamazoo,2013,42127,987,3657,2332,18406,1461,26077,250704,23.4291547,"michigan,kalamazoo"
ingham,2013,43282,1006,3246,2492,16973,1611,26065,281323,23.24291853,"michigan,ingham"
ontonagon,2013,1006,23,85,64,331,30,26131,6703,22.86282306,"michigan,ontonagon"
muskegon,2013,42246,962,3474,2625,20445,1558,26121,171755,22.77138664,"michigan,muskegon"
gladwin,2013,5367,121,544,401,2405,246,26051,25736,22.54518353,"michigan,gladwin"
macomb,2013,133087,2946,14611,10103,48915,9928,26099,841769,22.13589607,"michigan,macomb"
midland,2013,11201,243,837,677,3504,366,26111,83744,21.69449156,"michigan,midland"
lake,2013,2759,59,280,225,1204,163,26085,11543,21.38455962,"michigan,lake"
kent,2013,112854,2373,8207,5850,44754,3846,26081,605244,21.02716785,"michigan,kent"
berrien,2013,32797,672,2666,1828,14185,1191,26021,156759,20.48967893,"michigan,berrien"
mason,2013,5849,118,368,321,2819,288,26105,28672,20.17438878,"michigan,mason"
iron,2013,2198,44,144,112,956,49,26071,11837,20.01819836,"michigan,iron"
sanilac,2013,8472,167,772,530,3255,258,26151,43096,19.71199245,"michigan,sanilac"
alpena,2013,6147,121,421,386,2329,147,26007,29602,19.68439889,"michigan,alpena"
crawford,2013,2614,51,208,155,1201,130,26039,14119,19.510329,"michigan,crawford"
monroe,2013,21634,417,1754,1349,9164,1098,26115,151944,19.27521494,"michigan,monroe"
clare,2013,8152,157,735,535,3244,265,26035,30924,19.25907753,"michigan,clare"
washtenaw,2013,34956,666,2681,1988,12808,1264,26161,346010,19.05252317,"michigan,washtenaw"
jackson,2013,31085,588,2562,1690,12162,936,26075,160257,18.91587582,"michigan,jackson"
osceola,2013,6004,113,400,373,2679,226,26133,23486,18.82078614,"michigan,osceola"
newaygo,2013,9788,184,504,483,3951,463,26123,48517,18.79852881,"michigan,newaygo"
clinton,2013,13087,244,797,640,5475,425,26037,75274,18.64445633,"michigan,clinton"
schoolcraft,2013,1686,31,133,104,617,48,26153,8455,18.38671412,"michigan,schoolcraft"
iosco,2013,5627,103,467,348,2232,175,26069,25880,18.30460281,"michigan,iosco"
montcalm,2013,13026,238,847,694,6018,340,26117,63357,18.27115001,"michigan,montcalm"
hillsdale,2013,8895,162,575,478,4092,298,26059,46617,18.21247892,"michigan,hillsdale"
ionia,2013,10655,194,615,550,4458,286,26067,64149,18.20741436,"michigan,ionia"
huron,2013,5383,98,456,361,1850,141,26063,33001,18.20546164,"michigan,huron"
st clair,2013,30670,557,2924,1677,12040,917,26147,162978,18.16106945,"michigan,st clair"
benzie,2013,2681,48,175,145,932,61,26019,17554,17.90376725,"michigan,benzie"
roscommon,2013,5740,102,518,407,1872,181,26143,24447,17.77003484,"michigan,roscommon"
allegan,2013,15550,275,853,760,6442,362,26005,111589,17.68488746,"michigan,allegan"
antrim,2013,3981,70,214,236,1184,128,26009,23634,17.58352173,"michigan,antrim"
alcona,2013,1824,32,162,102,568,63,26001,10943,17.54385965,"michigan,alcona"
ogemaw,2013,4618,81,488,331,1596,177,26129,21674,17.54006063,"michigan,ogemaw"
lenawee,2013,16849,292,1259,1005,7224,526,26091,99878,17.33040537,"michigan,lenawee"
van buren,2013,17343,299,1152,866,7641,482,26159,76149,17.24038517,"michigan,van buren"
eaton,2013,14801,255,882,661,6254,422,26045,107861,17.22856564,"michigan,eaton"
manistee,2013,4355,75,376,302,1822,185,26101,24753,17.22158439,"michigan,manistee"
dickinson,2013,4338,74,197,182,1558,114,26043,26286,17.05855233,"michigan,dickinson"
bay,2013,19040,324,1514,1134,6826,529,26017,107633,17.01680672,"michigan,bay"
isabella,2013,9077,150,679,535,3555,380,26073,70186,16.52528368,"michigan,isabella"
cheboygan,2013,4933,81,313,280,1789,159,26031,26195,16.42002838,"michigan,cheboygan"
cass,2013,8551,140,548,450,3405,210,26027,52412,16.37235411,"michigan,cass"
baraga,2013,1351,22,76,68,478,39,26013,8808,16.2842339,"michigan,baraga"
mecosta,2013,7945,128,476,393,3571,389,26107,42947,16.11076149,"michigan,mecosta"
ottawa,2013,31198,499,1341,1238,10723,739,26139,264835,15.99461504,"michigan,ottawa"
gratiot,2013,8459,135,539,481,3101,256,26057,42340,15.95933325,"michigan,gratiot"
alger,2013,1330,21,89,71,488,32,26003,9531,15.78947368,"michigan,alger"
grand traverse,2013,13335,210,682,568,3732,300,26055,87483,15.7480315,"michigan,grand traverse"
