county,year,pts,ckd,pedckd,htn,dm,ed,anemia,fips,pop,pedckd_per_1000_pts,polyname
lake,2013,1234,12,20,4,4,521,81,26085,11543,16.207455429497568,"michigan,lake"
benzie,2013,1496,13,24,9,12,511,15,26019,17554,16.042780748663102,"michigan,benzie"
midland,2013,5792,47,81,30,28,1790,75,26111,83744,13.984806629834255,"michigan,midland"
missaukee,2013,1673,4,23,4,10,459,85,26113,14945,13.747758517632995,"michigan,missaukee"
arenac,2013,1916,13,26,10,11,775,24,26011,15952,13.569937369519833,"michigan,arenac"
alcona,2013,896,5,12,2,4,262,13,26001,10943,13.392857142857142,"michigan,alcona"
montcalm,2013,7491,53,98,19,37,3455,74,26117,63357,13.082365505272994,"michigan,montcalm"
lenawee,2013,9865,31,122,51,58,4036,194,26091,99878,12.366953877344146,"michigan,lenawee"
newaygo,2013,5472,38,66,11,18,2156,261,26123,48517,12.06140350877193,"michigan,newaygo"
osceola,2013,3345,18,39,10,19,1444,87,26133,23486,11.659192825112108,"michigan,osceola"
manistee,2013,2235,12,26,9,11,910,85,26101,24753,11.6331096196868,"michigan,manistee"
cheboygan,2013,2655,16,30,18,18,962,34,26031,26195,11.299435028248588,"michigan,cheboygan"
kent,2013,67931,484,749,238,253,24701,1182,26081,605244,11.025893921773564,"michigan,kent"
livingston,2013,7479,28,82,18,41,2821,112,26093,181678,10.964032624682444,"michigan,livingston"
hillsdale,2013,5143,17,55,24,16,2275,101,26059,46617,10.694147384794867,"michigan,hillsdale"
ottawa,2013,20097,148,206,51,90,6661,276,26139,264835,10.250286112355077,"michigan,ottawa"
huron,2013,2880,14,29,15,15,980,22,26063,33001,10.069444444444445,"michigan,huron"
mecosta,2013,4280,24,43,15,27,1920,217,26107,42947,10.046728971962617,"michigan,mecosta"
genesee,2013,54412,257,542,308,428,19439,1565,26049,425337,9.961038006322134,"michigan,genesee"
monroe,2013,12263,57,122,78,177,5067,454,26115,151944,9.948625947973579,"michigan,monroe"
jackson,2013,17446,43,173,62,85,6226,217,26075,160257,9.91631319500172,"michigan,jackson"
muskegon,2013,23037,123,222,112,108,11325,482,26121,171755,9.636671441593958,"michigan,muskegon"
allegan,2013,9348,52,90,23,54,3808,97,26005,111589,9.627727856225931,"michigan,allegan"
iosco,2013,2827,14,27,12,24,1154,35,26069,25880,9.55076052352317,"michigan,iosco"
bay,2013,9855,47,94,27,64,3510,90,26017,107633,9.538305428716388,"michigan,bay"
alpena,2013,2946,10,28,17,16,1143,23,26007,29602,9.504412763068567,"michigan,alpena"
kalamazoo,2013,23138,85,219,133,106,9378,453,26077,250704,9.464949433831793,"michigan,kalamazoo"
ogemaw,2013,2224,11,21,17,16,802,56,26129,21674,9.442446043165468,"michigan,ogemaw"
barry,2013,4368,19,40,9,16,2215,40,26015,59249,9.157509157509157,"michigan,barry"
washtenaw,2013,18748,76,171,144,104,6754,403,26161,346010,9.120972903776403,"michigan,washtenaw"
